Setup title	IV_measR
test date	24.10.2024
test time	14:11:28
Device ID	_ID166ZR10000
Count	0
Pulse amplitude	0.000000
Pulse width	0.000000020
Measurement parameters
groundSMU,sweepSMU,IntegrationMode,IntegrationFactor,MeasRange,startVolage,endVoltage,groundVoltage,nPoints,compliance,measName,
SMU2,SMU3,PLC,4,0.000000,-0.100000,0.100000,0.000000,50,0.100000,2em8s,
Measurement Data
Index, Bias, SMU3 I (nA), SMU3 R (Mohm)
 0, -0.100000, -3.941020000000, 25.374142
 1, -0.095925, -3.715480000000, 25.817660
 2, -0.091825, -3.496730000000, 26.260249
 3, -0.087750, -3.286890000000, 26.696969
 4, -0.083675, -3.085070000000, 27.122561
 5, -0.079600, -2.888740000000, 27.555266
 6, -0.075500, -2.698640000000, 27.977055
 7, -0.071425, -2.516280000000, 28.385156
 8, -0.067350, -2.338740000000, 28.797558
 9, -0.063275, -2.168380000000, 29.180771
 10, -0.059175, -2.000910000000, 29.574044
 11, -0.055100, -1.839600000000, 29.952164
 12, -0.051025, -1.683160000000, 30.315003
 13, -0.046950, -1.531130000000, 30.663628
 14, -0.042850, -1.382090000000, 31.003770
 15, -0.038775, -1.238670000000, 31.303737
 16, -0.034700, -1.097580000000, 31.615008
 17, -0.030600, -0.959010000000, 31.907905
 18, -0.026525, -0.825470000000, 32.133209
 19, -0.022450, -0.692830000000, 32.403331
 20, -0.018375, -0.563780000000, 32.592501
 21, -0.014275, -0.435730000000, 32.761114
 22, -0.010200, -0.309440000000, 32.962771
 23, -0.006125, -0.185568000000, 33.006768
 24, -0.002050, -0.061997000000, 33.066116
 25, 0.002050, 0.061255000000, 33.466656
 26, 0.006125, 0.182374000000, 33.584831
 27, 0.010200, 0.304283000000, 33.521426
 28, 0.014275, 0.425780000000, 33.526704
 29, 0.018375, 0.547290000000, 33.574522
 30, 0.022450, 0.669610000000, 33.526978
 31, 0.026525, 0.792700000000, 33.461587
 32, 0.030600, 0.916050000000, 33.404290
 33, 0.034700, 1.041700000000, 33.310934
 34, 0.038775, 1.168770000000, 33.175903
 35, 0.042850, 1.295400000000, 33.078586
 36, 0.046950, 1.427150000000, 32.897733
 37, 0.051025, 1.558890000000, 32.731623
 38, 0.055100, 1.692910000000, 32.547507
 39, 0.059175, 1.831140000000, 32.315934
 40, 0.063275, 1.970320000000, 32.114073
 41, 0.067350, 2.113590000000, 31.865215
 42, 0.071425, 2.259340000000, 31.613214
 43, 0.075500, 2.407640000000, 31.358509
 44, 0.079600, 2.561160000000, 31.079667
 45, 0.083675, 2.717570000000, 30.790375
 46, 0.087750, 2.877730000000, 30.492784
 47, 0.091825, 3.040560000000, 30.200029
 48, 0.095925, 3.208610000000, 29.896123
 49, 0.100000, 3.380580000000, 29.580723
