Setup title	IV_measR
test date	24.10.2024
test time	14:10:25
Device ID	_ID165ZR10000
Count	-1
Pulse amplitude	0.000000
Pulse width	0.000000000
Measurement parameters
groundSMU,sweepSMU,IntegrationMode,IntegrationFactor,MeasRange,startVolage,endVoltage,groundVoltage,nPoints,compliance,measName,
SMU2,SMU3,PLC,4,0.000000,-1.600000,1.600000,0.000000,21,0.100000,DCIV,
Measurement Data
Index, Bias, SMU3 I (nA), SMU3 R (Mohm)
 0, -1.600000, -11924.300000000001, 0.134180
 1, -1.440000, -7207.490000000000, 0.199792
 2, -1.280000, -4208.450000000001, 0.304150
 3, -1.120000, -2354.500000000000, 0.475685
 4, -0.960000, -1250.020000000000, 0.767988
 5, -0.800000, -621.146000000000, 1.287942
 6, -0.640000, -281.596000000000, 2.272760
 7, -0.480000, -112.061000000000, 4.283381
 8, -0.320000, -36.290100000000, 8.817832
 9, -0.160000, -8.078800000000, 19.804922
 10, 0.000000, 0.012031000000, 0.000000
 11, 0.160000, 6.231830000000, 25.674641
 12, 0.320000, 22.644700000000, 14.131342
 13, 0.480000, 57.329700000000, 8.372624
 14, 0.640000, 112.215000000000, 5.703337
 15, 0.800000, 177.516000000000, 4.506636
 16, 0.960000, 242.196000000000, 3.963732
 17, 1.120000, 333.223000000000, 3.361113
 18, 1.280000, 484.096000000000, 2.644104
 19, 1.440000, 735.318000000000, 1.958336
 20, 1.600000, 1160.380000000000, 1.378859
