Setup title	IV_measR
test date	24.10.2024
test time	16:29:32
Device ID	_ID179YR2500
Count	-1
Pulse amplitude	0.000000
Pulse width	0.000000000
Measurement parameters
groundSMU,sweepSMU,IntegrationMode,IntegrationFactor,MeasRange,startVolage,endVoltage,groundVoltage,nPoints,compliance,measName,
SMU2,SMU3,PLC,4,0.000000,-1.600000,1.600000,0.000000,21,0.100000,DCIV,
Measurement Data
Index, Bias, SMU3 I (nA), SMU3 R (Mohm)
 0, -1.600000, -513.480000000000, 3.115993
 1, -1.440000, -309.485000000000, 4.652891
 2, -1.280000, -180.418000000000, 7.094636
 3, -1.120000, -100.947000000000, 11.094931
 4, -0.960000, -53.636900000000, 17.898126
 5, -0.800000, -26.688900000000, 29.975008
 6, -0.640000, -12.124100000000, 52.787423
 7, -0.480000, -4.840420000000, 99.164948
 8, -0.320000, -1.567140000000, 204.193627
 9, -0.160000, -0.339370000000, 471.461826
 10, 0.000000, 0.010362000000, 0.000000
 11, 0.160000, 0.264730000000, 604.389378
 12, 0.320000, 0.930270000000, 343.986155
 13, 0.480000, 2.310970000000, 207.704990
 14, 0.640000, 4.362740000000, 146.696801
 15, 0.800000, 6.558440000000, 121.980227
 16, 0.960000, 9.122010000000, 105.239964
 17, 1.120000, 13.017900000000, 86.035382
 18, 1.280000, 19.812100000000, 64.606983
 19, 1.440000, 31.781100000000, 45.309948
 20, 1.600000, 51.476700000000, 31.082024
