Setup title	pulsedAmplitudeSweep_DCIV
test date	24.10.2024
test time	16:09:45
Device ID	_ID183ZR1000
Count	2
TriggerOutput	0
TriggerPolarity	positive
Measurement parameters
groundWGFMU,pulseWGFMU,startVolage1,endVoltage1,startVolage2,endVoltage2,stepSize,riseTime,fallTime,pulseWidth,pulseDelay,VpreCond1,VpreCond2,riseTimePrecond,fallTimePrecon,pulseWidthPreCond,bothSides,repetitions,preConEveryLoop,groundVoltageDuringPulse,measName,
SMU2,WGFMU1,0.300000,4.000000,-0.400000,-2.900000,0.036000,0.000000020,0.000000020,0.000002000,0.001000000,0.000000,0.000000,0.000100000,0.000100000,0.005000000,0,10,0,0.000000,2em6s 10cy,
Measurement Data
index, pulse amplitude (V), R_low (ohm), R_high (ohm)
    0,  0.300,2961383558.398,3417401407.969
    1,  0.336,2971061857.508,3398932735.121
    2,  0.372,2975482028.089,3342916360.233
    3,  0.408,2984183825.724,3357281944.538
    4,  0.444,2987571701.721,3396623755.987
    5,  0.480,2993743076.969,3358973497.699
    6,  0.516,2994011976.048,3357169234.901
    7,  0.552,3019141356.198,3369272237.197
    8,  0.588,3021513173.797,3436898542.755
    9,  0.624,3052596233.096,3397200706.618
   10,  0.660,3082994203.971,3503485968.539
   11,  0.696,3087182020.252,3470535156.521
   12,  0.732,3144950781.520,3569643749.554
   13,  0.768,3174905546.560,3573215179.018
   14,  0.804,3242542153.048,3636495872.577
   15,  0.840,3309176346.007,3782005219.167
   16,  0.876,3427474636.688,3825847425.205
   17,  0.912,3487358326.068,3963378383.734
   18,  0.948,3587057895.114,4084967320.261
   19,  0.984,3688675765.400,4111334950.458
   20,  1.020,3804885472.947,4248268830.452
   21,  1.056,3864435599.181,4326195111.400
   22,  1.092,3981842796.846,4465681239.673
   23,  1.128,4116751060.063,4588208304.657
   24,  1.164,4543595801.717,5093724531.377
   25,  1.200,4586524790.166,5147740142.078
   26,  1.236,4637573621.481,5345592558.935
   27,  1.272,4759864819.839,5456132693.147
   28,  1.308,4870208931.963,5646208570.945
   29,  1.344,5029169181.251,5645889792.231
   30,  1.380,5259559248.935,5893793835.092
   31,  1.416,5497828357.799,6350415952.245
   32,  1.452,5727376861.397,6400409626.216
   33,  1.488,5979788315.494,6813845734.533
   34,  1.524,6196170766.466,6907508461.698
   35,  1.560,6403278478.581,7271140841.998
   36,  1.596,6554368486.596,7609191903.820
   37,  1.632,6939143709.666,7599361653.621
   38,  1.668,7211365111.416,7859781498.074
   39,  1.704,7147962830.593,8111615833.874
   40,  1.740,7515971439.309,8591803419.538
   41,  1.776,7817385866.166,8501232678.738
   42,  1.812,8092579104.961,8686587908.270
   43,  1.848,8080155138.979,9031791907.514
   44,  1.884,8360504974.500,8983918785.374
   45,  1.920,8579272477.694,9272997032.641
   46,  1.956,8733624454.148,9275577404.693
   47,  1.992,9007386056.566,9460737937.559
   48,  2.028,9020386072.524,10057326762.547
   49,  2.064,9166743056.192,9861932938.856
   50,  2.100,9242144177.449,9819324430.479
   51,  2.136,9490367277.214,10183299389.002
   52,  2.172,9630200308.166,10177081213.108
   53,  2.208,9764671418.807,10424267695.194
   54,  2.244,9916699722.332,11093854004.881
   55,  2.280,10217635639.113,11282861333.634
   56,  2.316,10239606799.099,10752688172.043
   57,  2.352,10476689366.160,11512779184.895
   58,  2.388,10443864229.765,11114816049.794
   59,  2.424,10542962572.483,10964912280.702
   60,  2.460,10521885521.886,11570056693.278
   61,  2.496,10458063166.702,11770244821.092
   62,  2.532,10443864229.765,11183180496.533
   63,  2.568,10909884355.226,12023566189.732
   64,  2.604,11144544745.347,12271444349.000
   65,  2.640,10863661053.775,12158054711.246
   66,  2.676,10992634934.594,11763321962.122
   67,  2.712,11256190904.998,11893434823.977
   68,  2.748,11267605633.803,11526048870.447
   69,  2.784,11222085063.405,11664528169.836
   70,  2.820,11228385358.185,11876484560.570
   71,  2.856,11212019284.673,11482374555.058
   72,  2.892,11380448389.667,12365524916.533
   73,  2.928,11634671320.535,12072920439.454
   74,  2.964,11435105774.728,12698412698.413
   75,  3.000,11512779184.895,12868356710.848
   76,  3.036,11599582415.033,12215978499.878
   77,  3.072,11665888940.737,12987012987.013
   78,  3.108,12130033964.095,12589701624.072
   79,  3.144,11916110581.506,13107877834.579
   80,  3.180,12336540833.950,13486176668.914
   81,  3.216,12403870007.442,12691965985.531
   82,  3.252,12504689258.472,13678019422.788
   83,  3.288,12768130745.659,13197835554.969
   84,  3.324,12724265173.686,13753266400.770
   85,  3.360,12691965985.531,13161358252.172
   86,  3.396,12742099898.063,13449899125.757
   87,  3.432,12888258796.237,13462574044.157
   88,  3.468,12971851083.150,14336917562.724
   89,  3.504,13442667025.138,14692918013.517
   90,  3.540,13031013812.875,13984058173.682
   91,  3.576,13147515119.642,14505366985.785
   92,  3.612,13399437223.637,14714537963.508
   93,  3.648,13276686139.140,14725371815.638
   94,  3.684,13524479307.547,14279594459.517
   95,  3.720,13592496941.688,15096618357.488
   96,  3.756,13766519823.789,14570887367.041
   97,  3.792,13935340022.297,15186028853.455
   98,  3.828,13923698134.224,14267370523.612
   99,  3.864,14033118158.855,14536996656.491
  100,  3.900,13781697905.182,14146272457.208
