Setup title	pulsedAmplitudeSweep_DCIV
test date	24.10.2024
test time	14:53:11
Device ID	_ID186ZR500
Count	1
TriggerOutput	0
TriggerPolarity	positive
Measurement parameters
groundWGFMU,pulseWGFMU,startVolage1,endVoltage1,startVolage2,endVoltage2,stepSize,riseTime,fallTime,pulseWidth,pulseDelay,VpreCond1,VpreCond2,riseTimePrecond,fallTimePrecon,pulseWidthPreCond,bothSides,repetitions,preConEveryLoop,groundVoltageDuringPulse,measName,
SMU2,WGFMU1,0.700000,5.000000,-0.600000,-3.600000,0.042000,0.000000020,0.000000020,0.000000020,0.001000000,0.000000,0.000000,0.000100000,0.000100000,0.005000000,0,2,0,0.000000,2em8s,
Measurement Data
index, pulse amplitude (V), R_low (ohm), R_high (ohm)
    0,  0.700,     718.097,     717.870
    1,  0.742,     718.112,     717.860
    2,  0.784,     718.107,     717.865
    3,  0.826,     718.076,     717.854
    4,  0.868,     718.107,     717.880
    5,  0.910,     718.092,     717.834
    6,  0.952,     718.107,     717.844
    7,  0.994,     718.081,     717.849
    8,  1.036,     718.092,     717.849
    9,  1.078,     718.107,     717.870
   10,  1.120,     718.107,     717.880
   11,  1.162,     718.081,     717.870
   12,  1.204,     718.076,     717.885
   13,  1.246,     718.076,     717.870
   14,  1.288,     718.102,     717.891
   15,  1.330,     718.128,     717.880
   16,  1.372,     718.097,     717.885
   17,  1.414,     718.112,     717.870
   18,  1.456,     718.092,     717.880
   19,  1.498,     718.117,     717.875
   20,  1.540,     718.066,     717.865
   21,  1.582,     718.066,     717.875
   22,  1.624,     718.076,     717.880
   23,  1.666,     718.092,     717.844
   24,  1.708,     718.102,     717.829
   25,  1.750,     718.102,     717.844
   26,  1.792,     718.086,     717.844
   27,  1.834,     718.092,     717.844
   28,  1.876,     718.092,     717.813
   29,  1.918,     718.092,     717.854
   30,  1.960,     718.097,     717.865
   31,  2.002,     718.050,     717.839
   32,  2.044,     718.092,     717.870
   33,  2.086,     718.081,     717.880
   34,  2.128,     718.086,     717.875
   35,  2.170,     718.133,     717.849
   36,  2.212,     718.117,     717.865
   37,  2.254,     718.066,     717.824
   38,  2.296,     718.112,     717.849
   39,  2.338,     718.076,     717.813
   40,  2.380,     718.081,     717.813
   41,  2.422,     718.050,     717.818
   42,  2.464,     718.045,     717.829
   43,  2.506,     718.045,     717.798
   44,  2.548,     718.061,     717.803
   45,  2.590,     718.050,     717.849
   46,  2.632,     718.050,     717.839
   47,  2.674,     718.030,     717.849
   48,  2.716,     718.050,     717.849
   49,  2.758,     718.045,     717.839
   50,  2.800,     718.056,     717.818
   51,  2.842,     718.050,     717.839
   52,  2.884,     718.035,     717.860
   53,  2.926,     718.066,     717.803
   54,  2.968,     718.035,     717.798
   55,  3.010,     717.994,     717.808
   56,  3.052,     718.035,     717.787
   57,  3.094,     718.014,     717.787
   58,  3.136,     718.019,     717.813
   59,  3.178,     718.030,     717.834
   60,  3.220,     718.014,     717.787
   61,  3.262,     718.045,     717.839
   62,  3.304,     718.019,     717.803
   63,  3.346,     717.999,     717.793
   64,  3.388,     718.025,     717.829
   65,  3.430,     718.056,     717.803
   66,  3.472,     718.045,     717.818
   67,  3.514,     718.056,     717.813
   68,  3.556,     718.030,     717.772
   69,  3.598,     718.004,     717.777
   70,  3.640,     717.978,     717.803
   71,  3.682,     718.009,     717.787
   72,  3.724,     718.019,     717.824
   73,  3.766,     718.019,     717.829
   74,  3.808,     718.019,     717.813
   75,  3.850,     718.035,     717.834
   76,  3.892,     718.061,     717.818
   77,  3.934,     718.071,     717.870
   78,  3.976,     718.025,     717.849
   79,  4.018,     718.035,     717.818
   80,  4.060,     717.999,     717.818
   81,  4.102,     718.009,     717.798
   82,  4.144,     717.978,     717.793
   83,  4.186,     718.004,     717.777
   84,  4.228,     718.107,     717.854
   85,  4.270,     718.123,     717.901
   86,  4.312,      -1.000,      -1.000
