Setup title	IV_measR
test date	19.09.2024
test time	16:30:10
Device ID	LBE247_ID180XR1000Star
Count	1
Pulse amplitude	0.000000
Pulse width	0.000500000
Measurement parameters
groundSMU,sweepSMU,IntegrationMode,IntegrationFactor,MeasRange,startVolage,endVoltage,groundVoltage,nPoints,compliance,measName,
SMU2,SMU1,PLC,4,0.000000,-0.100000,0.100000,0.000000,50,0.100000,5e-4s-2p5V-m2V,
Measurement Data
Index, Bias, SMU1 I (nA), SMU1 R (Mohm)
 0, -0.100000, -0.001280000000, 78125.000000
 1, -0.095925, -0.000990000000, 96893.939394
 2, -0.091825, -0.000860000000, 106773.255814
 3, -0.087750, -0.000810000000, 108333.333333
 4, -0.083675, -0.000710000000, 117852.112676
 5, -0.079600, -0.000660000000, 120606.060606
 6, -0.075500, -0.000580000000, 130172.413793
 7, -0.071425, -0.000490000000, 145765.306122
 8, -0.067350, -0.000500000000, 134700.000000
 9, -0.063275, -0.000450000000, 140611.111111
 10, -0.059175, -0.000390000000, 151730.769231
 11, -0.055100, -0.000290000000, 190000.000000
 12, -0.051025, -0.000240000000, 212604.166667
 13, -0.046950, -0.000190000000, 247105.263158
 14, -0.042850, -0.000170000000, 252058.823529
 15, -0.038775, -0.000100000000, 387750.000000
 16, -0.034700, -0.000060000000, 578333.333333
 17, -0.030600, -0.000050000000, 612000.000000
 18, -0.026525, 0.000000000000,    inf
 19, -0.022450, 0.000040000000, 561250.000000
 20, -0.018375, 0.000020000000, 918750.000000
 21, -0.014275, 0.000130000000, 109807.692308
 22, -0.010200, 0.000100000000, 102000.000000
 23, -0.006125, 0.000180000000, 34027.777778
 24, -0.002050, 0.000200000000, 10250.000000
 25, 0.002050, 0.000210000000, 9761.904762
 26, 0.006125, 0.000300000000, 20416.666667
 27, 0.010200, 0.000310000000, 32903.225806
 28, 0.014275, 0.000340000000, 41985.294118
 29, 0.018375, 0.000380000000, 48355.263158
 30, 0.022450, 0.000370000000, 60675.675676
 31, 0.026525, 0.000420000000, 63154.761905
 32, 0.030600, 0.000450000000, 68000.000000
 33, 0.034700, 0.000490000000, 70816.326531
 34, 0.038775, 0.000510000000, 76029.411765
 35, 0.042850, 0.000530000000, 80849.056604
 36, 0.046950, 0.000580000000, 80948.275862
 37, 0.051025, 0.000600000000, 85041.666667
 38, 0.055100, 0.000710000000, 77605.633803
 39, 0.059175, 0.000690000000, 85760.869565
 40, 0.063275, 0.000720000000, 87881.944444
 41, 0.067350, 0.000730000000, 92260.273973
 42, 0.071425, 0.000810000000, 88179.012346
 43, 0.075500, 0.000830000000, 90963.855422
 44, 0.079600, 0.000810000000, 98271.604938
 45, 0.083675, 0.000920000000, 90951.086957
 46, 0.087750, 0.000980000000, 89540.816327
 47, 0.091825, 0.001020000000, 90024.509804
 48, 0.095925, 0.001080000000, 88819.444444
 49, 0.100000, 0.001070000000, 93457.943925
