Setup title	IV_measR
test date	19.09.2024
test time	16:22:43
Device ID	LBE247_ID180YR1000Star
Count	0
Pulse amplitude	0.000000
Pulse width	0.000500000
Measurement parameters
groundSMU,sweepSMU,IntegrationMode,IntegrationFactor,MeasRange,startVolage,endVoltage,groundVoltage,nPoints,compliance,measName,
SMU2,SMU1,PLC,4,0.000000,-0.100000,0.100000,0.000000,50,0.100000,5e-4s-2p5V-m2V,
Measurement Data
Index, Bias, SMU1 I (nA), SMU1 R (Mohm)
 0, -0.100000, -0.001350000000, 74074.074074
 1, -0.095925, -0.001160000000, 82693.965517
 2, -0.091825, -0.000970000000, 94664.948454
 3, -0.087750, -0.000830000000, 105722.891566
 4, -0.083675, -0.000820000000, 102042.682927
 5, -0.079600, -0.000680000000, 117058.823529
 6, -0.075500, -0.000650000000, 116153.846154
 7, -0.071425, -0.000620000000, 115201.612903
 8, -0.067350, -0.000480000000, 140312.500000
 9, -0.063275, -0.000430000000, 147151.162791
 10, -0.059175, -0.000410000000, 144329.268293
 11, -0.055100, -0.000330000000, 166969.696970
 12, -0.051025, -0.000280000000, 182232.142857
 13, -0.046950, -0.000280000000, 167678.571429
 14, -0.042850, -0.000150000000, 285666.666667
 15, -0.038775, -0.000150000000, 258500.000000
 16, -0.034700, -0.000070000000, 495714.285714
 17, -0.030600, -0.000050000000, 612000.000000
 18, -0.026525, 0.000030000000, 884166.666667
 19, -0.022450, 0.000070000000, 320714.285714
 20, -0.018375, 0.000150000000, 122500.000000
 21, -0.014275, 0.000160000000, 89218.750000
 22, -0.010200, 0.000220000000, 46363.636364
 23, -0.006125, 0.000240000000, 25520.833333
 24, -0.002050, 0.000310000000, 6612.903226
 25, 0.002050, 0.000360000000, 5694.444444
 26, 0.006125, 0.000390000000, 15705.128205
 27, 0.010200, 0.000410000000, 24878.048780
 28, 0.014275, 0.000520000000, 27451.923077
 29, 0.018375, 0.000540000000, 34027.777778
 30, 0.022450, 0.000540000000, 41574.074074
 31, 0.026525, 0.000600000000, 44208.333333
 32, 0.030600, 0.000630000000, 48571.428571
 33, 0.034700, 0.000670000000, 51791.044776
 34, 0.038775, 0.000760000000, 51019.736842
 35, 0.042850, 0.000790000000, 54240.506329
 36, 0.046950, 0.000790000000, 59430.379747
 37, 0.051025, 0.000860000000, 59331.395349
 38, 0.055100, 0.000890000000, 61910.112360
 39, 0.059175, 0.000980000000, 60382.653061
 40, 0.063275, 0.000970000000, 65231.958763
 41, 0.067350, 0.001030000000, 65388.349515
 42, 0.071425, 0.001120000000, 63772.321429
 43, 0.075500, 0.001180000000, 63983.050847
 44, 0.079600, 0.001180000000, 67457.627119
 45, 0.083675, 0.001330000000, 62913.533835
 46, 0.087750, 0.001340000000, 65485.074627
 47, 0.091825, 0.001430000000, 64213.286713
 48, 0.095925, 0.001480000000, 64814.189189
 49, 0.100000, 0.001530000000, 65359.477124
