Setup title	IV_measR
test date	19.09.2024
test time	16:19:07
Device ID	LBE247_ID180ZR1000Star
Count	0
Pulse amplitude	0.000000
Pulse width	0.000500000
Measurement parameters
groundSMU,sweepSMU,IntegrationMode,IntegrationFactor,MeasRange,startVolage,endVoltage,groundVoltage,nPoints,compliance,measName,
SMU2,SMU1,PLC,4,0.000000,-0.100000,0.100000,0.000000,50,0.100000,5e-4s-3p5V-m2V,
Measurement Data
Index, Bias, SMU1 I (nA), SMU1 R (Mohm)
 0, -0.100000, -0.002540000000, 39370.078740
 1, -0.095925, -0.002230000000, 43015.695067
 2, -0.091825, -0.002120000000, 43313.679245
 3, -0.087750, -0.001910000000, 45942.408377
 4, -0.083675, -0.001800000000, 46486.111111
 5, -0.079600, -0.001620000000, 49135.802469
 6, -0.075500, -0.001490000000, 50671.140940
 7, -0.071425, -0.001350000000, 52907.407407
 8, -0.067350, -0.001200000000, 56125.000000
 9, -0.063275, -0.001090000000, 58050.458716
 10, -0.059175, -0.001060000000, 55825.471698
 11, -0.055100, -0.000870000000, 63333.333333
 12, -0.051025, -0.000790000000, 64588.607595
 13, -0.046950, -0.000680000000, 69044.117647
 14, -0.042850, -0.000600000000, 71416.666667
 15, -0.038775, -0.000550000000, 70500.000000
 16, -0.034700, -0.000410000000, 84634.146341
 17, -0.030600, -0.000350000000, 87428.571429
 18, -0.026525, -0.000300000000, 88416.666667
 19, -0.022450, -0.000180000000, 124722.222222
 20, -0.018375, -0.000070000000, 262500.000000
 21, -0.014275, 0.000000000000,    inf
 22, -0.010200, 0.000190000000, 53684.210526
 23, -0.006125, 0.000200000000, 30625.000000
 24, -0.002050, 0.000200000000, 10250.000000
 25, 0.002050, 0.000320000000, 6406.250000
 26, 0.006125, 0.000450000000, 13611.111111
 27, 0.010200, 0.000510000000, 20000.000000
 28, 0.014275, 0.000590000000, 24194.915254
 29, 0.018375, 0.000600000000, 30625.000000
 30, 0.022450, 0.000730000000, 30753.424658
 31, 0.026525, 0.000820000000, 32347.560976
 32, 0.030600, 0.000860000000, 35581.395349
 33, 0.034700, 0.000980000000, 35408.163265
 34, 0.038775, 0.001060000000, 36580.188679
 35, 0.042850, 0.001140000000, 37587.719298
 36, 0.046950, 0.001210000000, 38801.652893
 37, 0.051025, 0.001280000000, 39863.281250
 38, 0.055100, 0.001380000000, 39927.536232
 39, 0.059175, 0.001480000000, 39983.108108
 40, 0.063275, 0.001540000000, 41087.662338
 41, 0.067350, 0.001630000000, 41319.018405
 42, 0.071425, 0.001800000000, 39680.555556
 43, 0.075500, 0.001810000000, 41712.707182
 44, 0.079600, 0.001910000000, 41675.392670
 45, 0.083675, 0.002050000000, 40817.073171
 46, 0.087750, 0.002140000000, 41004.672897
 47, 0.091825, 0.002250000000, 40811.111111
 48, 0.095925, 0.002340000000, 40993.589744
 49, 0.100000, 0.002460000000, 40650.406504
