Setup title	IV_measR
test date	19.09.2024
test time	11:10:10
Device ID	LBE247_ID294YR
Count	1
Pulse amplitude	3.000000
Pulse width	0.000500000
Measurement parameters
groundSMU,sweepSMU,IntegrationMode,IntegrationFactor,MeasRange,startVolage,endVoltage,groundVoltage,nPoints,compliance,measName,
SMU2,SMU1,PLC,4,0.000000,-0.100000,0.100000,0.000000,50,0.100000,5e-4s-4V-m2p5V,
Measurement Data
Index, Bias, SMU1 I (nA), SMU1 R (Mohm)
 0, -0.100000, -0.119520000000, 836.680054
 1, -0.095925, -0.111540000000, 860.005379
 2, -0.091825, -0.104070000000, 882.338810
 3, -0.087750, -0.097110000000, 903.614458
 4, -0.083675, -0.090480000000, 924.790009
 5, -0.079600, -0.084220000000, 945.143671
 6, -0.075500, -0.078240000000, 964.979550
 7, -0.071425, -0.072310000000, 987.761029
 8, -0.067350, -0.066910000000, 1006.575998
 9, -0.063275, -0.061400000000, 1030.537459
 10, -0.059175, -0.056350000000, 1050.133097
 11, -0.055100, -0.051550000000, 1068.865179
 12, -0.051025, -0.046550000000, 1096.133190
 13, -0.046950, -0.042330000000, 1109.142452
 14, -0.042850, -0.038070000000, 1125.558182
 15, -0.038775, -0.033910000000, 1143.468004
 16, -0.034700, -0.030040000000, 1155.126498
 17, -0.030600, -0.026160000000, 1169.724771
 18, -0.026525, -0.022270000000, 1191.064212
 19, -0.022450, -0.018510000000, 1212.857915
 20, -0.018375, -0.014750000000, 1245.762712
 21, -0.014275, -0.011790000000, 1210.771841
 22, -0.010200, -0.008470000000, 1204.250295
 23, -0.006125, -0.005230000000, 1171.128107
 24, -0.002050, -0.002030000000, 1009.852217
 25, 0.002050, 0.001290000000, 1589.147287
 26, 0.006125, 0.004620000000, 1325.757576
 27, 0.010200, 0.007890000000, 1292.775665
 28, 0.014275, 0.010990000000, 1298.908098
 29, 0.018375, 0.014220000000, 1292.194093
 30, 0.022450, 0.017390000000, 1290.971823
 31, 0.026525, 0.020530000000, 1292.011690
 32, 0.030600, 0.023840000000, 1283.557047
 33, 0.034700, 0.027160000000, 1277.614138
 34, 0.038775, 0.030430000000, 1274.235951
 35, 0.042850, 0.033820000000, 1267.001774
 36, 0.046950, 0.037300000000, 1258.713137
 37, 0.051025, 0.040840000000, 1249.387855
 38, 0.055100, 0.044480000000, 1238.758993
 39, 0.059175, 0.048110000000, 1229.993764
 40, 0.063275, 0.051970000000, 1217.529344
 41, 0.067350, 0.055950000000, 1203.753351
 42, 0.071425, 0.059970000000, 1191.012173
 43, 0.075500, 0.064160000000, 1176.745636
 44, 0.079600, 0.068370000000, 1164.253327
 45, 0.083675, 0.072650000000, 1151.754990
 46, 0.087750, 0.077150000000, 1137.394686
 47, 0.091825, 0.081840000000, 1122.006354
 48, 0.095925, 0.086900000000, 1103.855006
 49, 0.100000, 0.092020000000, 1086.720278
