Setup title	IV_measR
test date	19.09.2024
test time	11:23:20
Device ID	LBE247_ID294YR
Count	1
Pulse amplitude	0.000000
Pulse width	0.000500000
Measurement parameters
groundSMU,sweepSMU,IntegrationMode,IntegrationFactor,MeasRange,startVolage,endVoltage,groundVoltage,nPoints,compliance,measName,
SMU2,SMU1,PLC,4,0.000000,-0.100000,0.100000,0.000000,50,0.100000,5e-4s-3V-m2V,
Measurement Data
Index, Bias, SMU1 I (nA), SMU1 R (Mohm)
 0, -0.100000, -0.090660000000, 1103.022281
 1, -0.095925, -0.084830000000, 1130.790994
 2, -0.091825, -0.079460000000, 1155.612887
 3, -0.087750, -0.074140000000, 1183.571621
 4, -0.083675, -0.069240000000, 1208.477759
 5, -0.079600, -0.064550000000, 1233.152595
 6, -0.075500, -0.059900000000, 1260.434057
 7, -0.071425, -0.055530000000, 1286.241671
 8, -0.067350, -0.051410000000, 1310.056409
 9, -0.063275, -0.047420000000, 1334.352594
 10, -0.059175, -0.043500000000, 1360.344828
 11, -0.055100, -0.039860000000, 1382.338184
 12, -0.051025, -0.036370000000, 1402.941985
 13, -0.046950, -0.032930000000, 1425.751594
 14, -0.042850, -0.029590000000, 1448.124366
 15, -0.038775, -0.026400000000, 1468.750000
 16, -0.034700, -0.023370000000, 1484.809585
 17, -0.030600, -0.020380000000, 1501.472031
 18, -0.026525, -0.017510000000, 1514.848658
 19, -0.022450, -0.014670000000, 1530.334015
 20, -0.018375, -0.011930000000, 1540.234702
 21, -0.014275, -0.009210000000, 1549.945711
 22, -0.010200, -0.006580000000, 1550.151976
 23, -0.006125, -0.003940000000, 1554.568528
 24, -0.002050, -0.001430000000, 1433.566434
 25, 0.002050, 0.001210000000, 1694.214876
 26, 0.006125, 0.003650000000, 1678.082192
 27, 0.010200, 0.006170000000, 1653.160454
 28, 0.014275, 0.008720000000, 1637.041284
 29, 0.018375, 0.011270000000, 1630.434783
 30, 0.022450, 0.013790000000, 1627.991298
 31, 0.026525, 0.016340000000, 1623.317013
 32, 0.030600, 0.018920000000, 1617.336152
 33, 0.034700, 0.021580000000, 1607.970343
 34, 0.038775, 0.024200000000, 1602.272727
 35, 0.042850, 0.026920000000, 1591.753343
 36, 0.046950, 0.029680000000, 1581.873315
 37, 0.051025, 0.032550000000, 1567.588326
 38, 0.055100, 0.035470000000, 1553.425430
 39, 0.059175, 0.038410000000, 1540.614423
 40, 0.063275, 0.041440000000, 1526.906371
 41, 0.067350, 0.044740000000, 1505.364327
 42, 0.071425, 0.047890000000, 1491.438714
 43, 0.075500, 0.051220000000, 1474.033581
 44, 0.079600, 0.054720000000, 1454.678363
 45, 0.083675, 0.058230000000, 1436.974068
 46, 0.087750, 0.061950000000, 1416.464891
 47, 0.091825, 0.065770000000, 1396.153261
 48, 0.095925, 0.069720000000, 1375.860585
 49, 0.100000, 0.073710000000, 1356.668023
