Setup title	IV_measR
test date	19.09.2024
test time	10:59:48
Device ID	LBE247_ID294ZR
Count	1
Pulse amplitude	4.500000
Pulse width	0.000500000
Measurement parameters
groundSMU,sweepSMU,IntegrationMode,IntegrationFactor,MeasRange,startVolage,endVoltage,groundVoltage,nPoints,compliance,measName,
SMU2,SMU1,PLC,4,0.000000,-0.100000,0.100000,0.000000,50,0.100000,5e-4s-4p5V-m3V,
Measurement Data
Index, Bias, SMU1 I (nA), SMU1 R (Mohm)
 0, -0.100000, -152519.000000000000, 0.000656
 1, -0.095925, -146305.000000000000, 0.000656
 2, -0.091825, -140044.000000000000, 0.000656
 3, -0.087750, -133811.000000000000, 0.000656
 4, -0.083675, -127596.000000000000, 0.000656
 5, -0.079600, -121361.000000000000, 0.000656
 6, -0.075500, -115118.000000000000, 0.000656
 7, -0.071425, -108908.000000000000, 0.000656
 8, -0.067350, -102679.000000000000, 0.000656
 9, -0.063275, -96483.500000000000, 0.000656
 10, -0.059175, -90227.500000000000, 0.000656
 11, -0.055100, -84007.000000000000, 0.000656
 12, -0.051025, -77830.899999999994, 0.000656
 13, -0.046950, -71600.899999999994, 0.000656
 14, -0.042850, -65359.500000000000, 0.000656
 15, -0.038775, -59150.600000000006, 0.000656
 16, -0.034700, -52965.800000000003, 0.000655
 17, -0.030600, -46717.400000000001, 0.000655
 18, -0.026525, -40503.799999999996, 0.000655
 19, -0.022450, -34289.099999999999, 0.000655
 20, -0.018375, -28102.900000000001, 0.000654
 21, -0.014275, -21855.899999999998, 0.000653
 22, -0.010200, -15638.900000000000, 0.000652
 23, -0.006125, -9423.150000000000, 0.000650
 24, -0.002050, -3242.160000000000, 0.000632
 25, 0.002050, 3007.960000000000, 0.000682
 26, 0.006125, 9224.789999999999, 0.000664
 27, 0.010200, 15418.900000000000, 0.000662
 28, 0.014275, 21639.699999999997, 0.000660
 29, 0.018375, 27864.200000000001, 0.000659
 30, 0.022450, 34084.800000000003, 0.000659
 31, 0.026525, 40277.900000000001, 0.000659
 32, 0.030600, 46494.900000000001, 0.000658
 33, 0.034700, 52739.599999999999, 0.000658
 34, 0.038775, 58933.700000000004, 0.000658
 35, 0.042850, 65149.599999999999, 0.000658
 36, 0.046950, 71372.599999999991, 0.000658
 37, 0.051025, 77592.000000000000, 0.000658
 38, 0.055100, 83788.600000000006, 0.000658
 39, 0.059175, 90009.100000000006, 0.000657
 40, 0.063275, 96265.800000000003, 0.000657
 41, 0.067350, 102480.300000000003, 0.000657
 42, 0.071425, 108702.800000000003, 0.000657
 43, 0.075500, 114883.300000000003, 0.000657
 44, 0.079600, 121153.000000000000, 0.000657
 45, 0.083675, 127348.000000000000, 0.000657
 46, 0.087750, 133549.000000000000, 0.000657
 47, 0.091825, 139770.000000000000, 0.000657
 48, 0.095925, 146023.000000000000, 0.000657
 49, 0.100000, 152225.000000000000, 0.000657
