Setup title	IV_measR
test date	19.09.2024
test time	13:08:44
Device ID	LBE247_ID300XR1000Oct
Count	0
Pulse amplitude	0.000000
Pulse width	0.000500000
Measurement parameters
groundSMU,sweepSMU,IntegrationMode,IntegrationFactor,MeasRange,startVolage,endVoltage,groundVoltage,nPoints,compliance,measName,
SMU2,SMU1,PLC,4,0.000000,-0.100000,0.100000,0.000000,50,0.100000,5e-4s-3V-m2V,
Measurement Data
Index, Bias, SMU1 I (nA), SMU1 R (Mohm)
 0, -0.100000, -0.017400000000, 5747.126437
 1, -0.095925, -0.016320000000, 5877.757353
 2, -0.091825, -0.015300000000, 6001.633987
 3, -0.087750, -0.014320000000, 6127.793296
 4, -0.083675, -0.013430000000, 6230.454207
 5, -0.079600, -0.012600000000, 6317.460317
 6, -0.075500, -0.011770000000, 6414.613424
 7, -0.071425, -0.010930000000, 6534.766697
 8, -0.067350, -0.010160000000, 6628.937008
 9, -0.063275, -0.009460000000, 6688.689218
 10, -0.059175, -0.008680000000, 6817.396313
 11, -0.055100, -0.007980000000, 6904.761905
 12, -0.051025, -0.007350000000, 6942.176871
 13, -0.046950, -0.006680000000, 7028.443114
 14, -0.042850, -0.006020000000, 7117.940199
 15, -0.038775, -0.005390000000, 7193.877551
 16, -0.034700, -0.004810000000, 7214.137214
 17, -0.030600, -0.004240000000, 7216.981132
 18, -0.026525, -0.003660000000, 7247.267760
 19, -0.022450, -0.003130000000, 7172.523962
 20, -0.018375, -0.002450000000, 7500.000000
 21, -0.014275, -0.001950000000, 7320.512821
 22, -0.010200, -0.001410000000, 7234.042553
 23, -0.006125, -0.000930000000, 6586.021505
 24, -0.002050, -0.000380000000, 5394.736842
 25, 0.002050, 0.000140000000, 14642.857143
 26, 0.006125, 0.000680000000, 9007.352941
 27, 0.010200, 0.001260000000, 8095.238095
 28, 0.014275, 0.001740000000, 8204.022989
 29, 0.018375, 0.002210000000, 8314.479638
 30, 0.022450, 0.002770000000, 8104.693141
 31, 0.026525, 0.003230000000, 8212.074303
 32, 0.030600, 0.003700000000, 8270.270270
 33, 0.034700, 0.004250000000, 8164.705882
 34, 0.038775, 0.004850000000, 7994.845361
 35, 0.042850, 0.005350000000, 8009.345794
 36, 0.046950, 0.005870000000, 7998.296422
 37, 0.051025, 0.006460000000, 7898.606811
 38, 0.055100, 0.007030000000, 7837.837838
 39, 0.059175, 0.007550000000, 7837.748344
 40, 0.063275, 0.008210000000, 7707.064555
 41, 0.067350, 0.008840000000, 7618.778281
 42, 0.071425, 0.009370000000, 7622.732124
 43, 0.075500, 0.010020000000, 7534.930140
 44, 0.079600, 0.010650000000, 7474.178404
 45, 0.083675, 0.011300000000, 7404.867257
 46, 0.087750, 0.012030000000, 7294.264339
 47, 0.091825, 0.012620000000, 7276.148970
 48, 0.095925, 0.013340000000, 7190.779610
 49, 0.100000, 0.014010000000, 7137.758744
