Setup title	IV_measR
test date	19.09.2024
test time	13:25:00
Device ID	LBE247_ID300XR1000Oct
Count	0
Pulse amplitude	3.000000
Pulse width	0.000000022
Measurement parameters
groundSMU,sweepSMU,IntegrationMode,IntegrationFactor,MeasRange,startVolage,endVoltage,groundVoltage,nPoints,compliance,measName,
SMU2,SMU1,PLC,4,0.000000,-0.100000,0.100000,0.000000,50,0.100000,3V-m2V,
Measurement Data
Index, Bias, SMU1 I (nA), SMU1 R (Mohm)
 0, -0.100000, -0.019730000000, 5068.423720
 1, -0.095925, -0.018500000000, 5185.135135
 2, -0.091825, -0.017340000000, 5295.559400
 3, -0.087750, -0.016300000000, 5383.435583
 4, -0.083675, -0.015270000000, 5479.698756
 5, -0.079600, -0.014320000000, 5558.659218
 6, -0.075500, -0.013340000000, 5659.670165
 7, -0.071425, -0.012440000000, 5741.559486
 8, -0.067350, -0.011550000000, 5831.168831
 9, -0.063275, -0.010750000000, 5886.046512
 10, -0.059175, -0.009880000000, 5989.372470
 11, -0.055100, -0.009010000000, 6115.427303
 12, -0.051025, -0.008330000000, 6125.450180
 13, -0.046950, -0.007560000000, 6210.317460
 14, -0.042850, -0.006810000000, 6292.217327
 15, -0.038775, -0.006120000000, 6335.784314
 16, -0.034700, -0.005400000000, 6425.925926
 17, -0.030600, -0.004820000000, 6348.547718
 18, -0.026525, -0.004100000000, 6469.512195
 19, -0.022450, -0.003600000000, 6236.111111
 20, -0.018375, -0.002810000000, 6539.145907
 21, -0.014275, -0.002150000000, 6639.534884
 22, -0.010200, -0.001520000000, 6710.526316
 23, -0.006125, -0.000950000000, 6447.368421
 24, -0.002050, -0.000340000000, 6029.411765
 25, 0.002050, 0.000210000000, 9761.904762
 26, 0.006125, 0.000870000000, 7040.229885
 27, 0.010200, 0.001470000000, 6938.775510
 28, 0.014275, 0.002040000000, 6997.549020
 29, 0.018375, 0.002640000000, 6960.227273
 30, 0.022450, 0.003260000000, 6886.503067
 31, 0.026525, 0.003790000000, 6998.680739
 32, 0.030600, 0.004540000000, 6740.088106
 33, 0.034700, 0.005120000000, 6777.343750
 34, 0.038775, 0.005720000000, 6778.846154
 35, 0.042850, 0.006430000000, 6664.074650
 36, 0.046950, 0.007060000000, 6650.141643
 37, 0.051025, 0.007630000000, 6687.418087
 38, 0.055100, 0.008310000000, 6630.565584
 39, 0.059175, 0.008860000000, 6678.893905
 40, 0.063275, 0.009560000000, 6618.723849
 41, 0.067350, 0.010200000000, 6602.941176
 42, 0.071425, 0.011090000000, 6440.486925
 43, 0.075500, 0.011830000000, 6382.079459
 44, 0.079600, 0.012600000000, 6317.460317
 45, 0.083675, 0.013370000000, 6258.414361
 46, 0.087750, 0.014170000000, 6192.660550
 47, 0.091825, 0.014900000000, 6162.751678
 48, 0.095925, 0.015790000000, 6075.047498
 49, 0.100000, 0.016670000000, 5998.800240
