Setup title	IV_measR
test date	19.09.2024
test time	13:04:12
Device ID	LBE247_ID300YR1000Oct
Count	0
Pulse amplitude	0.000000
Pulse width	0.000500000
Measurement parameters
groundSMU,sweepSMU,IntegrationMode,IntegrationFactor,MeasRange,startVolage,endVoltage,groundVoltage,nPoints,compliance,measName,
SMU2,SMU1,PLC,4,0.000000,-0.100000,0.100000,0.000000,50,0.100000,5e-4s-3V-m2V,
Measurement Data
Index, Bias, SMU1 I (nA), SMU1 R (Mohm)
 0, -0.100000, -0.011620000000, 8605.851979
 1, -0.095925, -0.010940000000, 8768.281536
 2, -0.091825, -0.010290000000, 8923.712342
 3, -0.087750, -0.009640000000, 9102.697095
 4, -0.083675, -0.009070000000, 9225.468578
 5, -0.079600, -0.008470000000, 9397.874852
 6, -0.075500, -0.007940000000, 9508.816121
 7, -0.071425, -0.007390000000, 9665.087957
 8, -0.067350, -0.006810000000, 9889.867841
 9, -0.063275, -0.006380000000, 9917.711599
 10, -0.059175, -0.005880000000, 10063.775510
 11, -0.055100, -0.005440000000, 10128.676471
 12, -0.051025, -0.004920000000, 10370.934959
 13, -0.046950, -0.004520000000, 10387.168142
 14, -0.042850, -0.004090000000, 10476.772616
 15, -0.038775, -0.003670000000, 10565.395095
 16, -0.034700, -0.003230000000, 10743.034056
 17, -0.030600, -0.002880000000, 10625.000000
 18, -0.026525, -0.002480000000, 10695.564516
 19, -0.022450, -0.002070000000, 10845.410628
 20, -0.018375, -0.001720000000, 10683.139535
 21, -0.014275, -0.001370000000, 10419.708029
 22, -0.010200, -0.001020000000, 10000.000000
 23, -0.006125, -0.000670000000, 9141.791045
 24, -0.002050, -0.000300000000, 6833.333333
 25, 0.002050, 0.000060000000, 34166.666667
 26, 0.006125, 0.000420000000, 14583.333333
 27, 0.010200, 0.000760000000, 13421.052632
 28, 0.014275, 0.001140000000, 12521.929825
 29, 0.018375, 0.001440000000, 12760.416667
 30, 0.022450, 0.001790000000, 12541.899441
 31, 0.026525, 0.002120000000, 12511.792453
 32, 0.030600, 0.002470000000, 12388.663968
 33, 0.034700, 0.002820000000, 12304.964539
 34, 0.038775, 0.003220000000, 12041.925466
 35, 0.042850, 0.003520000000, 12173.295455
 36, 0.046950, 0.003980000000, 11796.482412
 37, 0.051025, 0.004280000000, 11921.728972
 38, 0.055100, 0.004660000000, 11824.034335
 39, 0.059175, 0.005100000000, 11602.941176
 40, 0.063275, 0.005480000000, 11546.532847
 41, 0.067350, 0.005930000000, 11357.504216
 42, 0.071425, 0.006290000000, 11355.325914
 43, 0.075500, 0.006710000000, 11251.862891
 44, 0.079600, 0.007160000000, 11117.318436
 45, 0.083675, 0.007570000000, 11053.500661
 46, 0.087750, 0.008010000000, 10955.056180
 47, 0.091825, 0.008420000000, 10905.581948
 48, 0.095925, 0.008930000000, 10741.881299
 49, 0.100000, 0.009390000000, 10649.627263
