Setup title	IV_measR
test date	19.09.2024
test time	11:38:38
Device ID	LBE247_ID300ZR1000Oct
Count	0
Pulse amplitude	0.000000
Pulse width	0.000500000
Measurement parameters
groundSMU,sweepSMU,IntegrationMode,IntegrationFactor,MeasRange,startVolage,endVoltage,groundVoltage,nPoints,compliance,measName,
SMU2,SMU1,PLC,4,0.000000,-0.100000,0.100000,0.000000,50,0.100000,5e-4s-3V-m2V,
Measurement Data
Index, Bias, SMU1 I (nA), SMU1 R (Mohm)
 0, -0.100000, -0.015030000000, 6653.359947
 1, -0.095925, -0.014120000000, 6793.555241
 2, -0.091825, -0.013330000000, 6888.597149
 3, -0.087750, -0.012600000000, 6964.285714
 4, -0.083675, -0.011680000000, 7163.955479
 5, -0.079600, -0.010900000000, 7302.752294
 6, -0.075500, -0.010180000000, 7416.502947
 7, -0.071425, -0.009610000000, 7432.362123
 8, -0.067350, -0.008820000000, 7636.054422
 9, -0.063275, -0.008180000000, 7735.330073
 10, -0.059175, -0.007420000000, 7975.067385
 11, -0.055100, -0.006870000000, 8020.378457
 12, -0.051025, -0.006310000000, 8086.370840
 13, -0.046950, -0.005670000000, 8280.423280
 14, -0.042850, -0.005130000000, 8352.826511
 15, -0.038775, -0.004540000000, 8540.748899
 16, -0.034700, -0.004060000000, 8546.798030
 17, -0.030600, -0.003460000000, 8843.930636
 18, -0.026525, -0.003010000000, 8812.292359
 19, -0.022450, -0.002540000000, 8838.582677
 20, -0.018375, -0.001920000000, 9570.312500
 21, -0.014275, -0.001460000000, 9777.397260
 22, -0.010200, -0.001060000000, 9622.641509
 23, -0.006125, -0.000570000000, 10745.614035
 24, -0.002050, -0.000130000000, 15769.230769
 25, 0.002050, 0.000340000000, 6029.411765
 26, 0.006125, 0.000790000000, 7753.164557
 27, 0.010200, 0.001260000000, 8095.238095
 28, 0.014275, 0.001710000000, 8347.953216
 29, 0.018375, 0.002160000000, 8506.944444
 30, 0.022450, 0.002640000000, 8503.787879
 31, 0.026525, 0.003090000000, 8584.142395
 32, 0.030600, 0.003510000000, 8717.948718
 33, 0.034700, 0.003940000000, 8807.106599
 34, 0.038775, 0.004440000000, 8733.108108
 35, 0.042850, 0.004900000000, 8744.897959
 36, 0.046950, 0.005330000000, 8808.630394
 37, 0.051025, 0.005860000000, 8707.337884
 38, 0.055100, 0.006340000000, 8690.851735
 39, 0.059175, 0.006820000000, 8676.686217
 40, 0.063275, 0.007190000000, 8800.417246
 41, 0.067350, 0.007690000000, 8758.127438
 42, 0.071425, 0.008260000000, 8647.094431
 43, 0.075500, 0.008690000000, 8688.147296
 44, 0.079600, 0.009100000000, 8747.252747
 45, 0.083675, 0.009680000000, 8644.111570
 46, 0.087750, 0.010190000000, 8611.383710
 47, 0.091825, 0.010730000000, 8557.781920
 48, 0.095925, 0.011270000000, 8511.535049
 49, 0.100000, 0.011810000000, 8467.400508
