Setup title	IV_measR
test date	19.09.2024
test time	13:34:16
Device ID	LBE247_ID301R1000Oct
Count	1
Pulse amplitude	2.500000
Pulse width	0.000000022
Measurement parameters
groundSMU,sweepSMU,IntegrationMode,IntegrationFactor,MeasRange,startVolage,endVoltage,groundVoltage,nPoints,compliance,measName,
SMU2,SMU1,PLC,4,0.000000,-0.100000,0.100000,0.000000,50,0.100000,2p5V-m1p5V,
Measurement Data
Index, Bias, SMU1 I (nA), SMU1 R (Mohm)
 0, -0.100000, -0.003810000000, 26246.719160
 1, -0.095925, -0.003540000000, 27097.457627
 2, -0.091825, -0.003260000000, 28167.177914
 3, -0.087750, -0.002970000000, 29545.454545
 4, -0.083675, -0.002730000000, 30650.183150
 5, -0.079600, -0.002610000000, 30498.084291
 6, -0.075500, -0.002520000000, 29960.317460
 7, -0.071425, -0.002260000000, 31603.982301
 8, -0.067350, -0.002000000000, 33675.000000
 9, -0.063275, -0.001830000000, 34576.502732
 10, -0.059175, -0.001640000000, 36082.317073
 11, -0.055100, -0.001490000000, 36979.865772
 12, -0.051025, -0.001390000000, 36708.633094
 13, -0.046950, -0.001200000000, 39125.000000
 14, -0.042850, -0.001100000000, 38954.545455
 15, -0.038775, -0.001040000000, 37283.653846
 16, -0.034700, -0.000920000000, 37717.391304
 17, -0.030600, -0.000810000000, 37777.777778
 18, -0.026525, -0.000690000000, 38442.028986
 19, -0.022450, -0.000570000000, 39385.964912
 20, -0.018375, -0.000460000000, 39945.652174
 21, -0.014275, -0.000410000000, 34817.073171
 22, -0.010200, -0.000270000000, 37777.777778
 23, -0.006125, -0.000240000000, 25520.833333
 24, -0.002050, -0.000080000000, 25625.000000
 25, 0.002050, 0.000030000000, 68333.333333
 26, 0.006125, 0.000120000000, 51041.666667
 27, 0.010200, 0.000180000000, 56666.666667
 28, 0.014275, 0.000310000000, 46048.387097
 29, 0.018375, 0.000410000000, 44817.073171
 30, 0.022450, 0.000550000000, 40818.181818
 31, 0.026525, 0.000610000000, 43483.606557
 32, 0.030600, 0.000680000000, 45000.000000
 33, 0.034700, 0.000720000000, 48194.444444
 34, 0.038775, 0.000890000000, 43567.415730
 35, 0.042850, 0.001080000000, 39675.925926
 36, 0.046950, 0.001210000000, 38801.652893
 37, 0.051025, 0.001330000000, 38364.661654
 38, 0.055100, 0.001380000000, 39927.536232
 39, 0.059175, 0.001440000000, 41093.750000
 40, 0.063275, 0.001620000000, 39058.641975
 41, 0.067350, 0.001690000000, 39852.071006
 42, 0.071425, 0.001810000000, 39461.325967
 43, 0.075500, 0.001920000000, 39322.916667
 44, 0.079600, 0.002030000000, 39211.822660
 45, 0.083675, 0.002180000000, 38383.027523
 46, 0.087750, 0.002360000000, 37182.203390
 47, 0.091825, 0.002550000000, 36009.803922
 48, 0.095925, 0.002580000000, 37180.232558
 49, 0.100000, 0.002720000000, 36764.705882
