Setup title	IV_measR
test date	19.09.2024
test time	13:47:12
Device ID	LBE247_ID301R1000Oct
Count	0
Pulse amplitude	2.000000
Pulse width	0.000000022
Measurement parameters
groundSMU,sweepSMU,IntegrationMode,IntegrationFactor,MeasRange,startVolage,endVoltage,groundVoltage,nPoints,compliance,measName,
SMU2,SMU1,PLC,4,0.000000,-0.100000,0.100000,0.000000,50,0.100000,2V-m1p5V,
Measurement Data
Index, Bias, SMU1 I (nA), SMU1 R (Mohm)
 0, -0.100000, -0.016550000000, 6042.296073
 1, -0.095925, -0.015490000000, 6192.704971
 2, -0.091825, -0.014580000000, 6298.010974
 3, -0.087750, -0.013670000000, 6419.166057
 4, -0.083675, -0.012800000000, 6537.109375
 5, -0.079600, -0.011970000000, 6649.958229
 6, -0.075500, -0.011200000000, 6741.071429
 7, -0.071425, -0.010450000000, 6834.928230
 8, -0.067350, -0.009680000000, 6957.644628
 9, -0.063275, -0.008880000000, 7125.563063
 10, -0.059175, -0.008230000000, 7190.157959
 11, -0.055100, -0.007550000000, 7298.013245
 12, -0.051025, -0.006940000000, 7352.305476
 13, -0.046950, -0.006300000000, 7452.380952
 14, -0.042850, -0.005670000000, 7557.319224
 15, -0.038775, -0.005080000000, 7632.874016
 16, -0.034700, -0.004520000000, 7676.991150
 17, -0.030600, -0.003920000000, 7806.122449
 18, -0.026525, -0.003400000000, 7801.470588
 19, -0.022450, -0.002810000000, 7989.323843
 20, -0.018375, -0.002310000000, 7954.545455
 21, -0.014275, -0.001760000000, 8110.795455
 22, -0.010200, -0.001300000000, 7846.153846
 23, -0.006125, -0.000740000000, 8277.027027
 24, -0.002050, -0.000250000000, 8200.000000
 25, 0.002050, 0.000280000000, 7321.428571
 26, 0.006125, 0.000770000000, 7954.545455
 27, 0.010200, 0.001260000000, 8095.238095
 28, 0.014275, 0.001720000000, 8299.418605
 29, 0.018375, 0.002250000000, 8166.666667
 30, 0.022450, 0.002770000000, 8104.693141
 31, 0.026525, 0.003220000000, 8237.577640
 32, 0.030600, 0.003740000000, 8181.818182
 33, 0.034700, 0.004280000000, 8107.476636
 34, 0.038775, 0.004750000000, 8163.157895
 35, 0.042850, 0.005330000000, 8039.399625
 36, 0.046950, 0.005860000000, 8011.945392
 37, 0.051025, 0.006340000000, 8048.107256
 38, 0.055100, 0.006940000000, 7939.481268
 39, 0.059175, 0.007490000000, 7900.534045
 40, 0.063275, 0.008030000000, 7879.825654
 41, 0.067350, 0.008660000000, 7777.136259
 42, 0.071425, 0.009180000000, 7780.501089
 43, 0.075500, 0.009870000000, 7649.442756
 44, 0.079600, 0.010490000000, 7588.179218
 45, 0.083675, 0.011110000000, 7531.503150
 46, 0.087750, 0.011730000000, 7480.818414
 47, 0.091825, 0.012410000000, 7399.274778
 48, 0.095925, 0.013120000000, 7311.356707
 49, 0.100000, 0.013750000000, 7272.727273
