Setup title	IV_measR
test date	19.09.2024
test time	15:03:32
Device ID	LBE247_ID301XR1000Oct
Count	1
Pulse amplitude	0.000000
Pulse width	0.000020000
Measurement parameters
groundSMU,sweepSMU,IntegrationMode,IntegrationFactor,MeasRange,startVolage,endVoltage,groundVoltage,nPoints,compliance,measName,
SMU2,SMU1,PLC,4,0.000000,-0.100000,0.100000,0.000000,50,0.100000,2e-5s-3p5V-m3p5V,
Measurement Data
Index, Bias, SMU1 I (nA), SMU1 R (Mohm)
 0, -0.100000, -0.003000000000, 33333.333333
 1, -0.095925, -0.002710000000, 35396.678967
 2, -0.091825, -0.002440000000, 37633.196721
 3, -0.087750, -0.002340000000, 37500.000000
 4, -0.083675, -0.002070000000, 40422.705314
 5, -0.079600, -0.001890000000, 42116.402116
 6, -0.075500, -0.001800000000, 41944.444444
 7, -0.071425, -0.001640000000, 43551.829268
 8, -0.067350, -0.001460000000, 46130.136986
 9, -0.063275, -0.001320000000, 47935.606061
 10, -0.059175, -0.001240000000, 47721.774194
 11, -0.055100, -0.001070000000, 51495.327103
 12, -0.051025, -0.000960000000, 53151.041667
 13, -0.046950, -0.000840000000, 55892.857143
 14, -0.042850, -0.000680000000, 63014.705882
 15, -0.038775, -0.000600000000, 64625.000000
 16, -0.034700, -0.000530000000, 65471.698113
 17, -0.030600, -0.000420000000, 72857.142857
 18, -0.026525, -0.000290000000, 91465.517241
 19, -0.022450, -0.000240000000, 93541.666667
 20, -0.018375, -0.000110000000, 167045.454545
 21, -0.014275, 0.000010000000, 1427500.000000
 22, -0.010200, 0.000130000000, 78461.538462
 23, -0.006125, 0.000170000000, 36029.411765
 24, -0.002050, 0.000220000000, 9318.181818
 25, 0.002050, 0.000310000000, 6612.903226
 26, 0.006125, 0.000440000000, 13920.454545
 27, 0.010200, 0.000530000000, 19245.283019
 28, 0.014275, 0.000560000000, 25491.071429
 29, 0.018375, 0.000630000000, 29166.666667
 30, 0.022450, 0.000750000000, 29933.333333
 31, 0.026525, 0.000860000000, 30843.023256
 32, 0.030600, 0.000880000000, 34772.727273
 33, 0.034700, 0.001010000000, 34356.435644
 34, 0.038775, 0.001080000000, 35902.777778
 35, 0.042850, 0.001190000000, 36008.403361
 36, 0.046950, 0.001340000000, 35037.313433
 37, 0.051025, 0.001420000000, 35933.098592
 38, 0.055100, 0.001480000000, 37229.729730
 39, 0.059175, 0.001580000000, 37452.531646
 40, 0.063275, 0.001650000000, 38348.484848
 41, 0.067350, 0.001820000000, 37005.494505
 42, 0.071425, 0.001920000000, 37200.520833
 43, 0.075500, 0.002010000000, 37562.189055
 44, 0.079600, 0.002100000000, 37904.761905
 45, 0.083675, 0.002260000000, 37024.336283
 46, 0.087750, 0.002450000000, 35816.326531
 47, 0.091825, 0.002550000000, 36009.803922
 48, 0.095925, 0.002660000000, 36062.030075
 49, 0.100000, 0.002800000000, 35714.285714
