Setup title	IV_measR
test date	19.09.2024
test time	16:01:20
Device ID	LBE247_ID301XR1000Oct
Count	0
Pulse amplitude	0.000000
Pulse width	0.000000020
Measurement parameters
groundSMU,sweepSMU,IntegrationMode,IntegrationFactor,MeasRange,startVolage,endVoltage,groundVoltage,nPoints,compliance,measName,
SMU2,SMU1,PLC,4,0.000000,-0.100000,0.100000,0.000000,50,0.100000,2e-8s-5V-m4p5V,
Measurement Data
Index, Bias, SMU1 I (nA), SMU1 R (Mohm)
 0, -0.100000, -0.040570000000, 2464.875524
 1, -0.095925, -0.038120000000, 2516.395593
 2, -0.091825, -0.035850000000, 2561.366806
 3, -0.087750, -0.033590000000, 2612.384638
 4, -0.083675, -0.031580000000, 2649.620013
 5, -0.079600, -0.029790000000, 2672.037597
 6, -0.075500, -0.027940000000, 2702.219041
 7, -0.071425, -0.025710000000, 2778.101906
 8, -0.067350, -0.023950000000, 2812.108559
 9, -0.063275, -0.022220000000, 2847.659766
 10, -0.059175, -0.020380000000, 2903.581943
 11, -0.055100, -0.018720000000, 2943.376068
 12, -0.051025, -0.017090000000, 2985.664131
 13, -0.046950, -0.015450000000, 3038.834951
 14, -0.042850, -0.014080000000, 3043.323864
 15, -0.038775, -0.012560000000, 3087.181529
 16, -0.034700, -0.011130000000, 3117.699910
 17, -0.030600, -0.009690000000, 3157.894737
 18, -0.026525, -0.008270000000, 3207.376058
 19, -0.022450, -0.007070000000, 3175.388967
 20, -0.018375, -0.005550000000, 3310.810811
 21, -0.014275, -0.004250000000, 3358.823529
 22, -0.010200, -0.002860000000, 3566.433566
 23, -0.006125, -0.001660000000, 3689.759036
 24, -0.002050, -0.000360000000, 5694.444444
 25, 0.002050, 0.000840000000, 2440.476190
 26, 0.006125, 0.002170000000, 2822.580645
 27, 0.010200, 0.003430000000, 2973.760933
 28, 0.014275, 0.004700000000, 3037.234043
 29, 0.018375, 0.005950000000, 3088.235294
 30, 0.022450, 0.007180000000, 3126.740947
 31, 0.026525, 0.008510000000, 3116.921269
 32, 0.030600, 0.009840000000, 3109.756098
 33, 0.034700, 0.011200000000, 3098.214286
 34, 0.038775, 0.012490000000, 3104.483587
 35, 0.042850, 0.013900000000, 3082.733813
 36, 0.046950, 0.015200000000, 3088.815789
 37, 0.051025, 0.016660000000, 3062.725090
 38, 0.055100, 0.018080000000, 3047.566372
 39, 0.059175, 0.019530000000, 3029.953917
 40, 0.063275, 0.021000000000, 3013.095238
 41, 0.067350, 0.022650000000, 2973.509934
 42, 0.071425, 0.024120000000, 2961.235489
 43, 0.075500, 0.025790000000, 2927.491276
 44, 0.079600, 0.027450000000, 2899.817851
 45, 0.083675, 0.029080000000, 2877.407153
 46, 0.087750, 0.030900000000, 2839.805825
 47, 0.091825, 0.032580000000, 2818.446900
 48, 0.095925, 0.034510000000, 2779.629093
 49, 0.100000, 0.036440000000, 2744.237102
