Setup title	IV_measR
test date	19.09.2024
test time	16:36:38
Device ID	LBE247_ID36ZR1000Circ
Count	1
Pulse amplitude	0.000000
Pulse width	0.000500000
Measurement parameters
groundSMU,sweepSMU,IntegrationMode,IntegrationFactor,MeasRange,startVolage,endVoltage,groundVoltage,nPoints,compliance,measName,
SMU2,SMU1,PLC,4,0.000000,-0.100000,0.100000,0.000000,50,0.100000,5e-4s-2p5V-m2V,
Measurement Data
Index, Bias, SMU1 I (nA), SMU1 R (Mohm)
 0, -0.100000, -0.003870000000, 25839.793282
 1, -0.095925, -0.003500000000, 27407.142857
 2, -0.091825, -0.003250000000, 28253.846154
 3, -0.087750, -0.002930000000, 29948.805461
 4, -0.083675, -0.002750000000, 30427.272727
 5, -0.079600, -0.002500000000, 31840.000000
 6, -0.075500, -0.002320000000, 32543.103448
 7, -0.071425, -0.002070000000, 34504.830918
 8, -0.067350, -0.001980000000, 34015.151515
 9, -0.063275, -0.001810000000, 34958.563536
 10, -0.059175, -0.001600000000, 36984.375000
 11, -0.055100, -0.001410000000, 39078.014184
 12, -0.051025, -0.001260000000, 40496.031746
 13, -0.046950, -0.001130000000, 41548.672566
 14, -0.042850, -0.001010000000, 42425.742574
 15, -0.038775, -0.000840000000, 46160.714286
 16, -0.034700, -0.000740000000, 46891.891892
 17, -0.030600, -0.000560000000, 54642.857143
 18, -0.026525, -0.000470000000, 56436.170213
 19, -0.022450, -0.000360000000, 62361.111111
 20, -0.018375, -0.000250000000, 73500.000000
 21, -0.014275, -0.000070000000, 203928.571429
 22, -0.010200, -0.000010000000, 1020000.000000
 23, -0.006125, 0.000140000000, 43750.000000
 24, -0.002050, 0.000240000000, 8541.666667
 25, 0.002050, 0.000360000000, 5694.444444
 26, 0.006125, 0.000480000000, 12760.416667
 27, 0.010200, 0.000540000000, 18888.888889
 28, 0.014275, 0.000660000000, 21628.787879
 29, 0.018375, 0.000780000000, 23557.692308
 30, 0.022450, 0.000880000000, 25511.363636
 31, 0.026525, 0.001040000000, 25504.807692
 32, 0.030600, 0.001120000000, 27321.428571
 33, 0.034700, 0.001220000000, 28442.622951
 34, 0.038775, 0.001380000000, 28097.826087
 35, 0.042850, 0.001450000000, 29551.724138
 36, 0.046950, 0.001560000000, 30096.153846
 37, 0.051025, 0.001730000000, 29494.219653
 38, 0.055100, 0.001800000000, 30611.111111
 39, 0.059175, 0.001900000000, 31144.736842
 40, 0.063275, 0.002040000000, 31017.156863
 41, 0.067350, 0.002180000000, 30894.495413
 42, 0.071425, 0.002290000000, 31189.956332
 43, 0.075500, 0.002500000000, 30200.000000
 44, 0.079600, 0.002560000000, 31093.750000
 45, 0.083675, 0.002720000000, 30762.867647
 46, 0.087750, 0.002850000000, 30789.473684
 47, 0.091825, 0.003040000000, 30205.592105
 48, 0.095925, 0.003210000000, 29883.177570
 49, 0.100000, 0.003340000000, 29940.119760
