Setup title	pulsedAmplitudeSweep_DCIV
test date	19.09.2024
test time	16:26:39
Device ID	LBE247_ID180XR1000Star
N	2
Measurement Data
index, pulse amplitude (V), R_low (ohm), R_high (ohm)
    0,  0.000,26178010471.204,26455026455.026
    1,  0.100,26954177897.574,26881720430.108
    2,  0.200,26809651474.531,26737967914.439
    3,  0.300,28328611898.017,27777777777.778
    4,  0.400,30303030303.030,30211480362.538
    5,  0.500,33557046979.866,33333333333.333
    6,  0.600,37313432835.821,36496350364.964
    7,  0.700,40650406504.065,38759689922.481
    8,  0.800,44642857142.857,41322314049.587
    9,  0.900,48076923076.923,42918454935.622
   10,  1.000,51282051282.051,45045045045.045
   11,  1.100,54347826086.957,47619047619.048
   12,  1.200,55865921787.709,47846889952.153
   13,  1.300,59171597633.136,50251256281.407
   14,  1.400,60975609756.098,53763440860.215
   15,  1.500,75187969924.812,58823529411.765
   16,  1.600,80000000000.000,64102564102.564
   17,  1.700,82644628099.174,65789473684.211
   18,  1.800,82644628099.174,64935064935.065
   19,  1.900,90090090090.090,69930069930.070
   20,  2.000,86206896551.724,46296296296.296
   21,  2.100,80000000000.000,70921985815.603
   22,  2.200,96153846153.846,61349693251.534
   23,  2.300,64516129032.258,53763440860.215
   24,  2.400,81967213114.754,63291139240.506
   25,  2.500,79365079365.079,63694267515.924
   26,  2.400,76923076923.077,61349693251.534
   27,  2.300,77519379844.961,63291139240.506
   28,  2.200,76923076923.077,61728395061.728
   29,  2.100,71942446043.165,60975609756.098
   30,  2.000,70921985815.603,60240963855.422
   31,  1.900,74074074074.074,61349693251.534
   32,  1.800,73529411764.706,60606060606.061
   33,  1.700,67567567567.568,58479532163.743
   34,  1.600,75187969924.812,59523809523.810
   35,  1.500,71428571428.571,61728395061.728
   36,  1.400,70921985815.603,64935064935.065
   37,  1.300,76923076923.077,62893081761.006
   38,  1.200,74074074074.074,62893081761.006
   39,  1.100,71942446043.165,63694267515.924
   40,  1.000,76335877862.595,63694267515.924
   41,  0.900,75187969924.812,62893081761.006
   42,  0.800,75187969924.812,64102564102.564
   43,  0.700,72463768115.942,64102564102.564
   44,  0.600,71942446043.165,63694267515.924
   45,  0.500,72992700729.927,64102564102.564
   46,  0.400,76923076923.077,63291139240.506
   47,  0.300,75757575757.576,63694267515.924
   48,  0.200,79365079365.079,62111801242.236
   49,  0.100,76335877862.595,63291139240.506
   50,  0.000,76923076923.077,62893081761.006
   51,  0.000,78125000000.000,65359477124.183
   52, -0.100,71942446043.165,62500000000.000
   53, -0.200,74074074074.074,65789473684.211
   54, -0.300,72463768115.942,62500000000.000
   55, -0.400,73529411764.706,62500000000.000
   56, -0.500,67114093959.732,56818181818.182
   57, -0.600,48543689320.388,44052863436.123
   58, -0.700,38314176245.211,36496350364.964
   59, -0.800,27247956403.270,27855153203.343
   60, -0.900,25445292620.865,26246719160.105
   61, -1.000,24271844660.194,24509803921.569
   62, -1.100,23364485981.308,23980815347.722
   63, -1.200,21834061135.371,23201856148.492
   64, -1.300,21276595744.681,23041474654.378
   65, -1.400,21367521367.521,22421524663.677
   66, -1.500,21505376344.086,22371364653.244
   67, -1.600,21881838074.398,22675736961.451
   68, -1.700,20449897750.511,22075055187.638
   69, -1.800,19841269841.270,21367521367.521
   70, -1.900,20449897750.511,21459227467.811
   71, -2.000,20242914979.757,21321961620.469
   72, -1.900,19920318725.100,21231422505.308
   73, -1.800,19880715705.765,20964360587.002
   74, -1.700,19607843137.255,21186440677.966
   75, -1.600,20040080160.321,21052631578.947
   76, -1.500,19607843137.255,20833333333.333
   77, -1.400,19607843137.255,20746887966.805
   78, -1.300,19762845849.802,20964360587.002
   79, -1.200,19531250000.000,21097046413.502
   80, -1.100,19762845849.802,20964360587.002
   81, -1.000,19960079840.319,21052631578.947
   82, -0.900,19723865877.712,21052631578.947
   83, -0.800,19379844961.240,20833333333.333
   84, -0.700,19960079840.319,20790020790.021
   85, -0.600,19880715705.765,21008403361.345
   86, -0.500,19920318725.100,20790020790.021
   87, -0.400,19960079840.319,20618556701.031
   88, -0.300,20491803278.689,20876826722.338
   89, -0.200,20366598778.004,21052631578.947
   90, -0.100,20202020202.020,21097046413.502
   91,  0.000,20080321285.141,21231422505.308
   92,  0.000,20161290322.581,21276595744.681
   93,  0.100,19920318725.100,21276595744.681
   94,  0.200,20120724346.076,21097046413.502
   95,  0.300,20746887966.805,21739130434.783
   96,  0.400,21978021978.022,23201856148.492
   97,  0.500,23866348448.687,24875621890.547
   98,  0.600,27700831024.931,28409090909.091
   99,  0.700,30864197530.864,30487804878.049
  100,  0.800,34246575342.466,33898305084.746
  101,  0.900,37174721189.591,35971223021.583
  102,  1.000,40322580645.161,37878787878.788
  103,  1.100,44052863436.123,40160642570.281
  104,  1.200,46948356807.512,43290043290.043
  105,  1.300,53475935828.877,47169811320.755
  106,  1.400,60606060606.061,51813471502.591
  107,  1.500,61349693251.534,51813471502.591
  108,  1.600,63694267515.924,54644808743.169
  109,  1.700,63694267515.924,56179775280.899
  110,  1.800,68027210884.354,59523809523.810
  111,  1.900,68027210884.354,58823529411.765
  112,  2.000,67114093959.732,58139534883.721
  113,  2.100,72463768115.942,59171597633.136
  114,  2.200,71428571428.571,60606060606.061
  115,  2.300,76923076923.077,62111801242.236
  116,  2.400,81967213114.754,64102564102.564
  117,  2.500,80000000000.000,64516129032.258
  118,  2.400,75757575757.576,64516129032.258
  119,  2.300,77519379844.961,67567567567.568
  120,  2.200,78125000000.000,64935064935.065
  121,  2.100,76923076923.077,64516129032.258
  122,  2.000,77519379844.961,64102564102.564
  123,  1.900,76923076923.077,64102564102.564
  124,  1.800,76335877862.595,64102564102.564
  125,  1.700,76923076923.077,64516129032.258
  126,  1.600,84745762711.864,63694267515.924
  127,  1.500,80645161290.323,63291139240.506
  128,  1.400,76923076923.077,64102564102.564
  129,  1.300,81967213114.754,65789473684.211
  130,  1.200,82644628099.174,63694267515.924
  131,  1.100,88495575221.239,63694267515.924
  132,  1.000,86956521739.130,65359477124.183
  133,  0.900,81300813008.130,64935064935.065
  134,  0.800,81300813008.130,67567567567.568
  135,  0.700,83333333333.333,66225165562.914
  136,  0.600,76923076923.077,67567567567.568
  137,  0.500,81967213114.754,64516129032.258
  138,  0.400,81967213114.754,64935064935.065
  139,  0.300,81300813008.130,68027210884.354
  140,  0.200,80645161290.323,66225165562.914
  141,  0.100,81967213114.754,67567567567.568
  142,  0.000,78740157480.315,65789473684.211
  143,  0.000,83333333333.333,66666666666.667
  144, -0.100,80645161290.323,72463768115.942
  145, -0.200,84033613445.378,66225165562.914
  146, -0.300,81967213114.754,67567567567.568
  147, -0.400,76335877862.595,63694267515.924
  148, -0.500,66225165562.914,55865921787.709
  149, -0.600,51546391752.577,47619047619.048
  150, -0.700,36363636363.636,35460992907.801
  151, -0.800,28328611898.017,29325513196.481
  152, -0.900,24038461538.462,24813895781.638
  153, -1.000,22675736961.451,23310023310.023
  154, -1.100,22573363431.151,23094688221.709
  155, -1.200,21321961620.469,22172949002.217
  156, -1.300,21413276231.263,21978021978.022
  157, -1.400,20080321285.141,21691973969.631
  158, -1.500,19607843137.255,21367521367.521
  159, -1.600,19880715705.765,21097046413.502
  160, -1.700,19841269841.270,20920502092.050
  161, -1.800,19267822736.031,20325203252.033
  162, -1.900,18939393939.394,19920318725.100
  163, -2.000,18348623853.211,19646365422.397
  164, -1.900,18416206261.510,19880715705.765
  165, -1.800,18975332068.311,19685039370.079
  166, -1.700,18450184501.845,19646365422.397
  167, -1.600,18903591682.420,20080321285.141
  168, -1.500,18248175182.482,19531250000.000
  169, -1.400,18281535648.995,19230769230.769
  170, -1.300,18726591760.300,19762845849.802
  171, -1.200,18796992481.203,19723865877.712
  172, -1.100,18621973929.236,19455252918.288
  173, -1.000,18975332068.311,19646365422.397
  174, -0.900,18416206261.510,19267822736.031
  175, -0.800,18939393939.394,20080321285.141
  176, -0.700,18382352941.176,19417475728.155
  177, -0.600,18621973929.236,19569471624.266
  178, -0.500,18587360594.796,19569471624.266
  179, -0.400,19011406844.106,19685039370.079
  180, -0.300,19047619047.619,19880715705.765
  181, -0.200,18867924528.302,20000000000.000
  182, -0.100,19011406844.106,19801980198.020
  183,  0.000,18903591682.420,19841269841.270
