Setup title	pulsedAmplitudeSweep_DCIV
test date	19.09.2024
test time	16:22:41
Device ID	LBE247_ID180YR1000Star
N	2
Measurement Data
index, pulse amplitude (V), R_low (ohm), R_high (ohm)
    0,  0.000,75757575757.576,52631578947.368
    1,  0.100,68027210884.354,50761421319.797
    2,  0.200,67567567567.568,50761421319.797
    3,  0.300,68027210884.354,51546391752.577
    4,  0.400,66666666666.667,52083333333.333
    5,  0.500,70921985815.603,51546391752.577
    6,  0.600,68027210884.354,49751243781.095
    7,  0.700,67567567567.568,51813471502.591
    8,  0.800,68027210884.354,51813471502.591
    9,  0.900,67567567567.568,51813471502.591
   10,  1.000,68493150684.932,50505050505.051
   11,  1.100,64102564102.564,50000000000.000
   12,  1.200,67567567567.568,50505050505.051
   13,  1.300,64102564102.564,51020408163.265
   14,  1.400,68493150684.932,52083333333.333
   15,  1.500,68027210884.354,50251256281.407
   16,  1.600,86956521739.130,60606060606.061
   17,  1.700,91743119266.055,64516129032.258
   18,  1.800,102040816326.531,64516129032.258
   19,  1.900,98039215686.275,69930069930.070
   20,  2.000,90909090909.091,61728395061.728
   21,  2.100,91743119266.055,60975609756.098
   22,  2.200,86956521739.130,61349693251.534
   23,  2.300,86956521739.130,59523809523.810
   24,  2.400,77519379844.961,57803468208.092
   25,  2.500,74626865671.642,56497175141.243
   26,  2.400,78740157480.315,55865921787.709
   27,  2.300,74626865671.642,54644808743.169
   28,  2.200,78740157480.315,56497175141.243
   29,  2.100,74074074074.074,55555555555.556
   30,  2.000,69930069930.070,55248618784.530
   31,  1.900,77519379844.961,58139534883.721
   32,  1.800,76335877862.595,58139534883.721
   33,  1.700,76335877862.595,55248618784.530
   34,  1.600,74074074074.074,54945054945.055
   35,  1.500,76335877862.595,56497175141.243
   36,  1.400,75187969924.812,56179775280.899
   37,  1.300,78125000000.000,55555555555.556
   38,  1.200,74074074074.074,58479532163.743
   39,  1.100,73529411764.706,56179775280.899
   40,  1.000,75187969924.812,56818181818.182
   41,  0.900,74626865671.642,56497175141.243
   42,  0.800,73529411764.706,56497175141.243
   43,  0.700,72463768115.942,57142857142.857
   44,  0.600,76923076923.077,58479532163.743
   45,  0.500,73529411764.706,57803468208.092
   46,  0.400,80000000000.000,59171597633.136
   47,  0.300,75187969924.812,58823529411.765
   48,  0.200,79365079365.079,59523809523.810
   49,  0.100,74074074074.074,58479532163.743
   50,  0.000,73529411764.706,58479532163.743
   51,  0.000,77519379844.961,59171597633.136
   52, -0.100,      -1.000,      -1.000
