Setup title	pulsedAmplitudeSweep_DCIV
test date	19.09.2024
test time	11:05:17
Device ID	LBE247_ID294YR
Count	1
TriggerOutput	0
TriggerPolarity	positive
Measurement parameters
groundWGFMU,pulseWGFMU,startVolage1,endVoltage1,startVolage2,endVoltage2,stepSize,riseTime,fallTime,pulseWidth,pulseDelay,VpreCond1,VpreCond2,riseTimePrecond,fallTimePrecon,pulseWidthPreCond,bothSides,repetitions,preConEveryLoop,groundVoltageDuringPulse,measName,
SMU2,WGFMU1,0.000000,4.000000,0.000000,-2.500000,0.100000,0.000000020,0.000000020,0.000500000,0.001000000,0.000000,0.000000,0.000100000,0.000100000,0.005000000,0,4,0,0.000000,5e-4s-4V-m2p5V,
Measurement Data
index, pulse amplitude (V), R_low (ohm), R_high (ohm)
    0,  0.000,83164232.727,93414292.387
    1,  0.100,83323612.245,93576882.767
    2,  0.200,83440415.200,93593523.328
    3,  0.300,83696716.578,93957587.545
    4,  0.400,84357574.888,94819984.260
    5,  0.500,85383242.685,96192693.203
    6,  0.600,87042807.653,98244373.054
    7,  0.700,89424641.854,101284284.730
    8,  0.800,93240962.620,105830184.885
    9,  0.900,98115206.876,111579746.044
   10,  1.000,105391846.887,120774405.488
   11,  1.100,114213922.677,131302521.008
   12,  1.200,127129417.747,146629715.978
   13,  1.300,139697972.982,161446561.188
   14,  1.400,156235352.936,180534743.911
   15,  1.500,181445394.009,212481142.299
   16,  1.600,206334468.173,243557893.711
   17,  1.700,243457090.688,287860905.610
   18,  1.800,291885580.852,348577802.566
   19,  1.900,355593485.527,428082191.781
   20,  2.000,429682464.659,518752917.985
   21,  2.100,512190124.974,623324814.561
   22,  2.200,600961538.462,737028301.887
   23,  2.300,688989940.747,838644750.084
   24,  2.400,760282825.211,934492103.542
   25,  2.500,833958802.435,1023751023.751
   26,  2.600,875426770.551,1084951719.648
   27,  2.700,922764602.750,1142334932.602
   28,  2.800,954927425.516,1184132622.854
   29,  2.900,976562500.000,1212415130.941
   30,  3.000,1007049345.418,1241002730.206
   31,  3.100,1028700750.952,1268230818.009
   32,  3.200,1022285831.118,1279590531.030
   33,  3.300,997108385.682,1247038284.075
   34,  3.400,989902989.507,1225039813.794
   35,  3.500,960984047.665,1198178768.272
   36,  3.600,889284126.278,1108156028.369
   37,  3.700,825832025.766,1034340091.022
   38,  3.800,758380100.106,951655881.233
   39,  3.900,673582109.659,833472245.374
   40,  4.000,599736116.109,746491489.997
   41,  0.000,682221312.594,832292967.124
   42, -0.100,688231245.699,839278220.730
   43, -0.200,694782185.785,844665934.623
   44, -0.300,693000693.001,844095551.616
   45, -0.400,678748387.973,823587547.356
   46, -0.500,654236179.261,798722044.728
   47, -0.600,620270437.911,764642911.760
   48, -0.700,561450788.838,698324022.346
   49, -0.800,401590297.578,491738788.356
   50, -0.900,230160191.493,274363476.734
   51, -1.000,169067424.089,199151614.124
   52, -1.100,142549642.913,166226167.323
   53, -1.200,125300721.732,145662180.272
   54, -1.300,112933098.432,130741171.702
   55, -1.400,103729059.696,119408688.176
   56, -1.500,95992320.614,109871999.121
   57, -1.600,89565606.807,102339480.525
   58, -1.700,84371809.691,95827663.530
   59, -1.800,79918802.497,90420000.904
   60, -1.900,77238566.761,87054931.662
   61, -2.000,75265499.048,84533712.044
   62, -2.100,73676765.295,82808191.386
   63, -2.200,73109569.312,81972588.366
   64, -2.300,72645381.570,81306762.283
   65, -2.400,72053896.314,80569789.552
   66, -2.500,71764840.969,80080721.367
