Setup title	pulsedAmplitudeSweep_DCIV
test date	19.09.2024
test time	11:19:27
Device ID	LBE247_ID294YR
Count	1
TriggerOutput	0
TriggerPolarity	positive
Measurement parameters
groundWGFMU,pulseWGFMU,startVolage1,endVoltage1,startVolage2,endVoltage2,stepSize,riseTime,fallTime,pulseWidth,pulseDelay,VpreCond1,VpreCond2,riseTimePrecond,fallTimePrecon,pulseWidthPreCond,bothSides,repetitions,preConEveryLoop,groundVoltageDuringPulse,measName,
SMU2,WGFMU1,0.000000,3.000000,0.000000,-2.000000,0.100000,0.000000020,0.000000020,0.000500000,0.001000000,0.000000,0.000000,0.000100000,0.000100000,0.005000000,1,3,0,0.000000,5e-4s-3V-m2V,
Measurement Data
index, pulse amplitude (V), R_low (ohm), R_high (ohm)
    0,  0.000,65713384.502,73741962.126
    1,  0.100,65751407.080,73766984.848
    2,  0.200,65750110.131,73809453.515
    3,  0.300,65891345.172,73980365.611
    4,  0.400,66113954.011,74287030.227
    5,  0.500,66650670.506,75000187.500
    6,  0.600,67440433.237,75931873.923
    7,  0.700,68866254.846,77684987.376
    8,  0.800,71679963.300,80875395.278
    9,  0.900,77620466.965,87992538.233
   10,  1.000,84920641.660,96592226.258
   11,  1.100,97307501.435,110865974.124
   12,  1.200,114962349.830,131302521.008
   13,  1.300,138962230.066,160567767.626
   14,  1.400,173882802.991,201832640.375
   15,  1.500,229494652.775,269403809.370
   16,  1.600,295709258.657,351259264.463
   17,  1.700,385802469.136,460045084.418
   18,  1.800,486878621.160,585788764.571
   19,  1.900,559221563.583,681663258.350
   20,  2.000,641436818.473,780031201.248
   21,  2.100,708165144.112,865126741.068
   22,  2.200,752671985.549,923020121.839
   23,  2.300,816926721.673,1001301692.200
   24,  2.400,853533629.225,1050089257.587
   25,  2.500,888494002.665,1103630945.812
   26,  2.600,930232558.140,1142726545.538
   27,  2.700,966744006.187,1189060642.093
   28,  2.800,998502246.630,1230466346.745
   29,  2.900,1010101010.101,1247349382.562
   30,  3.000,1031140441.328,1276161306.789
   31,  2.900,1035840066.294,1272264631.043
   32,  2.800,1047449460.564,1287166945.553
   33,  2.700,1042752867.570,1287995878.413
   34,  2.600,1046572475.144,1288825879.624
   35,  2.500,1050640890.943,1284356537.375
   36,  2.400,1054073995.995,1293828438.349
   37,  2.300,1056300834.478,1298364061.283
   38,  2.200,1066780456.582,1301913813.306
   39,  2.100,1070778455.937,1307018690.367
   40,  2.000,1067805659.370,1305653479.567
   41,  1.900,1072386058.981,1309414691.633
   42,  1.800,1081314878.893,1321877065.433
   43,  1.700,1086484137.332,1323276432.447
   44,  1.600,1083658430.863,1326084073.730
   45,  1.500,1085540599.218,1328197635.808
   46,  1.400,1090274749.237,1331380641.725
   47,  1.300,1097213078.780,1337255950.789
   48,  1.200,1099505222.650,1344447432.105
   49,  1.100,1104484205.876,1352265043.949
   50,  1.000,1108893324.462,1356852103.121
   51,  0.900,1110864252.388,1357404642.324
   52,  0.800,1113585746.102,1358695652.174
   53,  0.700,1114081996.435,1362026695.723
   54,  0.600,1117942984.908,1364070386.032
   55,  0.500,1122586439.156,1368925393.566
   56,  0.400,1122838535.819,1368738023.542
   57,  0.300,1125112511.251,1370801919.123
   58,  0.200,1127904353.711,1369863013.699
   59,  0.100,1130710085.934,1376273052.574
   60,  0.000,1129305477.132,1375137513.751
   61,  0.000,1138563133.326,1384466288.246
   62, -0.100,1137785868.700,1384657989.477
   63, -0.200,1138433515.483,1385041551.247
   64, -0.300,1132118193.139,1375705048.838
   65, -0.400,1096611470.556,1339943722.364
   66, -0.500,1001001001.001,1227596366.315
   67, -0.600,725373567.387,883002207.506
   68, -0.700,240836183.228,280151281.692
   69, -0.800,105755197.868,120586532.896
   70, -0.900,82854846.594,93957587.545
   71, -1.000,75549242.997,85680992.529
   72, -1.100,72281493.047,81809628.993
   73, -1.200,70227678.133,79440737.210
   74, -1.300,68736553.412,77794373.911
   75, -1.400,67589488.483,76459029.429
   76, -1.500,66558841.344,75123013.935
   77, -1.600,65703022.339,74168570.327
   78, -1.700,65181824.700,73358960.063
   79, -1.800,64609917.622,72847006.716
   80, -1.900,64402697.185,72418637.661
   81, -2.000,64366218.034,72295079.597
   82, -1.900,64596562.171,72524204.953
   83, -1.800,64705653.980,72608986.088
   84, -1.700,64706910.051,72657521.507
   85, -1.600,64932535.096,72828438.048
   86, -1.500,64913146.210,72778614.732
   87, -1.400,64973880.500,72793978.482
   88, -1.300,64997107.629,72857621.636
   89, -1.200,65045304.054,72834272.895
   90, -1.100,64997530.094,72826846.889
   91, -1.000,65045304.054,72878860.758
   92, -0.900,65041073.438,72867177.708
   93, -0.800,65055883.004,72873549.816
   94, -0.700,65089758.777,72924566.828
   95, -0.600,65090606.124,72886297.376
   96, -0.500,65099928.390,72925098.631
   97, -0.400,65185648.728,72970862.735
   98, -0.300,65246894.248,72971927.699
   99, -0.200,65295888.318,73052956.088
  100, -0.100,65300578.563,73062029.663
  101,  0.000,65331294.997,73087661.341
