Setup title	IV_measR
test date	19.09.2024
test time	10:47:33
Device ID	LBE247_ID294ZR
Count	-1
Pulse amplitude	0.000000
Pulse width	0.000000000
Measurement parameters
groundSMU,sweepSMU,IntegrationMode,IntegrationFactor,MeasRange,startVolage,endVoltage,groundVoltage,nPoints,compliance,measName,
SMU2,SMU1,PLC,4,0.000000,-1.000000,1.000000,0.000000,21,0.100000,Meas 11,
Measurement Data
Index, Bias, SMU1 I (nA), SMU1 R (Mohm)
 0, -1.000000, -0.001573000000, 635727.908455
 1, -0.900000, -0.000832000000, 1081730.769231
 2, -0.800000, -0.000469000000, 1705756.929638
 3, -0.700000, -0.000274000000, 2554744.525547
 4, -0.600000, -0.000126000000, 4761904.761905
 5, -0.500000, 0.000018000000, 27777777.777778
 6, -0.400000, 0.000040000000, 10000000.000000
 7, -0.300000, 0.000137000000, 2189781.021898
 8, -0.200000, 0.000238000000, 840336.134454
 9, -0.100000, 0.000296000000, 337837.837838
 10, 0.000000, 0.000326000000, 0.000000
 11, 0.100000, 0.000405000000, 246913.580247
 12, 0.200000, 0.000429000000, 466200.466200
 13, 0.300000, 0.000478000000, 627615.062762
 14, 0.400000, 0.000500000000, 800000.000000
 15, 0.500000, 0.000534000000, 936329.588015
 16, 0.600000, 0.000590000000, 1016949.152542
 17, 0.700000, 0.000686000000, 1020408.163265
 18, 0.800000, 0.000745000000, 1073825.503356
 19, 0.900000, 0.000731000000, 1231190.150479
 20, 1.000000, 0.000778000000, 1285347.043702
