Setup title	pulsedAmplitudeSweep_DCIV
test date	19.09.2024
test time	10:58:38
Device ID	LBE247_ID294ZR
N	4
Measurement Data
index, pulse amplitude (V), R_low (ohm), R_high (ohm)
    0,  0.000,320348539.211,377914666.868
    1,  0.100,320328015.888,377572210.685
    2,  0.200,320523093.689,378071833.648
    3,  0.300,321626141.773,379434642.383
    4,  0.400,325160954.673,384024577.573
    5,  0.500,334772856.617,395350676.050
    6,  0.600,373301478.274,441189446.748
    7,  0.700,436967445.925,515889393.314
    8,  0.800,496770988.574,587924040.214
    9,  0.900,562936275.614,667334000.667
   10,  1.000,650068257.167,770238003.543
   11,  1.100,710176834.032,843454790.823
   12,  1.200,813404912.966,970591089.974
   13,  1.300,903995660.821,1082016879.463
   14,  1.400,1052410018.943,1261511290.526
   15,  1.500,1221597849.988,1480384900.074
   16,  1.600,1370801919.123,1668335001.668
   17,  1.700,1382934587.194,1698369565.217
   18,  1.800,1413227812.323,1747640685.075
   19,  1.900,1387539891.772,1731002250.303
   20,  2.000,1364815067.558,1710863986.313
   21,  2.100,1317696666.227,1654807214.959
   22,  2.200,1259921884.843,1583531274.743
   23,  2.300,1225790634.960,1542971763.617
   24,  2.400,1181055863.942,1492091912.862
   25,  2.500,1157809424.569,1453699665.649
   26,  2.600,1147578609.135,1446968600.781
   27,  2.700,1152206475.400,1450536698.578
   28,  2.800,1173708920.188,1478415138.971
   29,  2.900,1191185229.303,1498351813.006
   30,  3.000,1230012300.123,1556904873.112
   31,  3.100,1273723092.600,1607975558.772
   32,  3.200,1303101381.287,1639344262.295
   33,  3.300,1347708894.879,1709986320.109
   34,  3.400,1325556733.828,1670843776.107
   35,  3.500,1233045622.688,1556662515.567
   36,  3.600,1097092704.334,1385233411.830
   37,  3.700,938526513.374,1180080245.457
   38,  3.800,786782061.369,983187493.855
   39,  3.900,660153155.532,816126662.858
   40,  4.000,565706850.710,700574471.066
   41,  4.100,487020893.196,599700149.925
   42,  4.200,425188145.754,521621198.686
   43,  4.300,382687229.727,464274107.433
   44,  4.400,     684.505,     685.420
   45,  4.500,     655.630,     656.375
   46,  0.000,     656.332,     656.970
   47, -0.100,     656.224,     656.914
   48, -0.200,     656.185,     656.978
   49, -0.300,     656.241,     656.953
   50, -0.400,     656.357,     657.047
   51, -0.500,     656.409,     657.082
   52, -0.600,     656.357,     656.957
   53, -0.700,     656.297,     656.974
   54, -0.800,     656.332,     657.009
   55, -0.900,     656.035,     656.720
   56, -1.000,     656.060,     656.776
   57, -1.100,     656.039,     656.603
   58, -1.200,     656.121,     656.750
   59, -1.300,     656.336,     657.108
   60, -1.400,     656.349,     657.017
   61, -1.500,     656.702,     657.294
   62, -1.600,     656.663,     657.406
   63, -1.700,     656.327,     657.086
   64, -1.800,     656.530,     657.168
   65, -1.900,     656.875,     657.484
   66, -2.000,     656.582,     657.250
   67, -2.100,     656.452,     657.268
   68, -2.200,     656.595,     657.298
   69, -2.300,     656.737,     657.402
   70, -2.400,      -1.000,      -1.000
