Setup title	pulsedWidthSweep_DCIV
test date	19.09.2024
test time	13:25:00
Device ID	LBE247_ID300XR1000Oct
Count	0
TriggerOutput	0
TriggerPolarity	positive
Measurement parameters
groundWGFMU,pulseWGFMU,posVoltage,negVoltage,riseTime,fallTime,pulseWidth,pulseDelay,VpreCond1,VpreCond2,riseTimePrecond,fallTimePrecon,pulseWidthPreCond,bothSides,repetitions,preConEveryLoop,groundVoltageDuringPulse,measName,
SMU2,WGFMU1,3.000000,-2.000000,0.000000020,0.000000020,0.000000022:0.000000024:0.000000027:0.000000030:0.000000033:0.000000036:0.000000040:0.000000045:0.000000049:0.000000054:0.000000060:0.000000066:0.000000073:0.000000081:0.000000090:0.000000099:0.000000109:0.000000121:0.000000134:0.000000148:0.000000163:0.000000181:0.000000200:0.000000220:0.000000244:0.000000269:0.000000298:0.000000329:0.000000363:0.000000402:0.000000444:0.000000491:0.000000542:0.000000599:0.000000662:0.000000732:0.000000809:0.000000894:0.000000988:0.000001092:0.000001207:0.000001334:0.000001474:0.000001629:0.000001800:0.000001990:0.000002199:0.000002430:0.000002686:0.000002968:0.000003280:0.000003625:0.000004007:0.000004428:0.000004894:0.000005409:0.000005977:0.000006606:0.000007301:0.000008069:0.000008917:0.000009855:0.000010890:0.000012040:0.000013300:0.000014700:0.000016250:0.000017960:0.000019850:0.000021930:0.000024240:0.000026790:0.000029610:0.000032720:0.000036160:0.000039960:0.000044170:0.000048810:0.000053950,0.001000,0.000000,0.000000,0.000100000,0.000100000,0.005000000,0,4,0,0.000000,3V-m2V,
Measurement Data
index,pulse width (s), pulse amplitude (V), R_low (ohm), R_high (ohm)
    0,0.000000022,  3.000,24154589371.981,28653295128.940
    1,0.000000024,  3.000,23696682464.455,29761904761.905
    2,0.000000027,  3.000,23640661938.534,28735632183.908
    3,0.000000030,  3.000,23310023310.023,28328611898.017
    4,0.000000033,  3.000,23201856148.492,28248587570.621
    5,0.000000036,  3.000,27624309392.265,27472527472.527
    6,0.000000040,  3.000,23310023310.023,27777777777.778
    7,0.000000045,  3.000,22624434389.140,27173913043.478
    8,0.000000049,  3.000,22779043280.182,27624309392.265
    9,0.000000054,  3.000,22573363431.151,26881720430.108
   10,0.000000060,  3.000,22675736961.451,27100271002.710
   11,0.000000066,  3.000,22321428571.429,26666666666.667
   12,0.000000073,  3.000,22321428571.429,26315789473.684
   13,0.000000081,  3.000,22471910112.360,26881720430.108
   14,0.000000090,  3.000,22522522522.523,27548209366.391
   15,0.000000099,  3.000,22222222222.222,26809651474.531
   16,0.000000109,  3.000,22321428571.429,26954177897.574
   17,0.000000121,  3.000,23148148148.148,27397260273.973
   18,0.000000134,  3.000,22727272727.273,27777777777.778
   19,0.000000148,  3.000,23094688221.709,28089887640.449
   20,0.000000163,  3.000,22883295194.508,27932960893.855
   21,0.000000181,  3.000,23148148148.148,28089887640.449
   22,0.000000200,  3.000,23310023310.023,27624309392.265
   23,0.000000220,  3.000,22831050228.311,27173913043.478
   24,0.000000244,  3.000,22624434389.140,27777777777.778
   25,0.000000269,  3.000,22779043280.182,27700831024.931
   26,0.000000298,  3.000,22988505747.126,27624309392.265
   27,0.000000329,  3.000,23148148148.148,27472527472.527
   28,0.000000363,  3.000,23041474654.378,27472527472.527
   29,0.000000402,  3.000,22421524663.677,27027027027.027
   30,0.000000444,  3.000,22471910112.360,26737967914.439
   31,0.000000491,  3.000,22371364653.244,26809651474.531
   32,0.000000542,  3.000,21929824561.404,27322404371.585
   33,0.000000599,  3.000,22026431718.062,27247956403.270
   34,0.000000662,  3.000,22727272727.273,27397260273.973
   35,0.000000732,  3.000,22421524663.677,27472527472.527
   36,0.000000809,  3.000,22371364653.244,27100271002.710
   37,0.000000894,  3.000,22624434389.140,27472527472.527
   38,0.000000988,  3.000,22831050228.311,27100271002.710
   39,0.000001092,  3.000,22522522522.523,27700831024.931
   40,0.000001207,  3.000,22883295194.508,27700831024.931
   41,0.000001334,  3.000,23041474654.378,26881720430.108
   42,0.000001474,  3.000,22675736961.451,27624309392.265
   43,0.000001629,  3.000,22883295194.508,28089887640.449
   44,0.000001800,  3.000,22988505747.126,27932960893.855
   45,0.000001990,  3.000,23041474654.378,28011204481.793
   46,0.000002199,  3.000,22883295194.508,27173913043.478
   47,0.000002430,  3.000,22675736961.451,26666666666.667
   48,0.000002686,  3.000,22573363431.151,27777777777.778
   49,0.000002968,  3.000,22779043280.182,27548209366.391
   50,0.000003280,  3.000,22935779816.514,27548209366.391
   51,0.000003625,  3.000,23310023310.023,28169014084.507
   52,0.000004007,  3.000,23419203747.073,28089887640.449
   53,0.000004428,  3.000,23094688221.709,27472527472.527
   54,0.000004894,  3.000,22883295194.508,28089887640.449
   55,0.000005409,  3.000,24096385542.169,29154518950.437
   56,0.000005977,  3.000,23866348448.687,29325513196.481
   57,0.000006606,  3.000,23584905660.377,28985507246.377
   58,0.000007301,  3.000,24449877750.611,29585798816.568
   59,0.000008069,  3.000,24213075060.533,29850746268.657
   60,0.000008917,  3.000,24509803921.569,30120481927.711
   61,0.000009855,  3.000,24570024570.025,29498525073.746
   62,0.000010890,  3.000,24937655860.349,29154518950.437
   63,0.000012040,  3.000,25575447570.332,30211480362.538
   64,0.000013300,  3.000,25974025974.026,29673590504.451
   65,0.000014700,  3.000,25906735751.295,30674846625.767
   66,0.000016250,  3.000,26525198938.992,33783783783.784
   67,0.000017960,  3.000,25773195876.289,31152647975.078
   68,0.000019850,  3.000,26525198938.992,32258064516.129
   69,0.000021930,  3.000,26246719160.105,31645569620.253
   70,0.000024240,  3.000,25773195876.289,32258064516.129
   71,0.000026790,  3.000,25906735751.295,31847133757.962
   72,0.000029610,  3.000,27247956403.270,31446540880.503
   73,0.000032720,  3.000,27322404371.585,31746031746.032
   74,0.000036160,  3.000,25839793281.654,31746031746.032
   75,0.000039960,  3.000,26385224274.406,33333333333.333
   76,0.000044170,  3.000,26385224274.406,32362459546.926
   77,0.000048810,  3.000,26109660574.413,32467532467.532
   78,0.000053950,  3.000,26737967914.439,32894736842.105
   79,-0.000000022, -2.000,8354218880.535,9990009990.010
   80,-0.000000024, -2.000,7763975155.280,9191176470.588
   81,-0.000000027, -2.000,7446016381.236,8779631255.487
   82,-0.000000030, -2.000,7062146892.655,8347245409.015
   83,-0.000000033, -2.000,6858710562.414,8103727714.749
   84,-0.000000036, -2.000,7037297677.692,8190008190.008
   85,-0.000000040, -2.000,6671114076.051,7942811755.361
   86,-0.000000045, -2.000,6591957811.470,7812500000.000
