Setup title	pulsedAmplitudeSweep_DCIV
test date	19.09.2024
test time	13:04:12
Device ID	LBE247_ID300YR1000Oct
Count	0
TriggerOutput	0
TriggerPolarity	positive
Measurement parameters
groundWGFMU,pulseWGFMU,startVolage1,endVoltage1,startVolage2,endVoltage2,stepSize,riseTime,fallTime,pulseWidth,pulseDelay,VpreCond1,VpreCond2,riseTimePrecond,fallTimePrecon,pulseWidthPreCond,bothSides,repetitions,preConEveryLoop,groundVoltageDuringPulse,measName,
SMU2,WGFMU1,0.000000,3.000000,0.000000,-2.000000,0.100000,0.000000020,0.000000020,0.000500000,0.001000000,0.000000,0.000000,0.000100000,0.000100000,0.005000000,0,5,0,0.000000,5e-4s-3V-m2V,
Measurement Data
index, pulse amplitude (V), R_low (ohm), R_high (ohm)
    0,  0.000,8460236886.633,10224948875.256
    1,  0.100,8431703204.047,10172939979.654
    2,  0.200,8539709649.872,10256410256.410
    3,  0.300,8620689655.172,10298661174.047
    4,  0.400,8802816901.408,10604453870.626
    5,  0.500,9398496240.602,11286681715.576
    6,  0.600,10672358591.249,13175230566.535
    7,  0.700,11614401858.304,14104372355.430
    8,  0.800,12422360248.447,15151515151.515
    9,  0.900,13986013986.014,17361111111.111
   10,  1.000,15723270440.252,19493177387.914
   11,  1.100,16638935108.153,20533880903.491
   12,  1.200,18315018315.018,22624434389.140
   13,  1.300,18796992481.203,23752969121.140
   14,  1.400,20491803278.689,25510204081.633
   15,  1.500,23529411764.706,30211480362.538
   16,  1.600,26246719160.105,33222591362.126
   17,  1.700,28571428571.429,36630036630.037
   18,  1.800,30769230769.231,39370078740.157
   19,  1.900,30211480362.538,40160642570.281
   20,  2.000,30120481927.711,40000000000.000
   21,  2.100,29761904761.905,36630036630.037
   22,  2.200,29411764705.882,40816326530.612
   23,  2.300,28985507246.377,39215686274.510
   24,  2.400,30120481927.711,40000000000.000
   25,  2.500,28248587570.621,37735849056.604
   26,  2.600,28169014084.507,36900369003.690
   27,  2.700,28409090909.091,37878787878.788
   28,  2.800,28169014084.507,36363636363.636
   29,  2.900,29585798816.568,39840637450.199
   30,  3.000,30959752321.981,42016806722.689
   31,  0.000,31152647975.078,42372881355.932
   32, -0.100,30769230769.231,42016806722.689
   33, -0.200,30303030303.030,38759689922.481
   34, -0.300,29673590504.451,41666666666.667
   35, -0.400,28169014084.507,36900369003.690
   36, -0.500,25706940874.036,34364261168.385
   37, -0.600,19267822736.031,24330900243.309
   38, -0.700,12422360248.447,15698587127.159
   39, -0.800,8525149190.111,10660980810.235
   40, -0.900,8045052292.840,9469696969.697
   41, -1.000,7102272727.273,8453085376.162
   42, -1.100,6882312456.986,8156606851.550
   43, -1.200,5948839976.205,7451564828.614
   44, -1.300,5724098454.493,7204610951.009
   45, -1.400,6009615384.615,7173601147.776
   46, -1.500,5549389567.148,6868131868.132
   47, -1.600,5711022272.987,6779661016.949
   48, -1.700,5524861878.453,6684491978.610
   49, -1.800,5627462014.631,6648936170.213
   50, -1.900,5583472920.156,6548788474.132
   51, -2.000,5181347150.259,6281407035.176
