Setup title	pulsedAmplitudeSweep_DCIV
test date	19.09.2024
test time	11:41:02
Device ID	LBE247_ID300ZR1000Oct
Count	1
TriggerOutput	0
TriggerPolarity	positive
Measurement parameters
groundWGFMU,pulseWGFMU,startVolage1,endVoltage1,startVolage2,endVoltage2,stepSize,riseTime,fallTime,pulseWidth,pulseDelay,VpreCond1,VpreCond2,riseTimePrecond,fallTimePrecon,pulseWidthPreCond,bothSides,repetitions,preConEveryLoop,groundVoltageDuringPulse,measName,
SMU2,WGFMU1,0.000000,3.000000,0.000000,-2.000000,0.100000,0.000000020,0.000000020,0.000500000,0.001000000,0.000000,0.000000,0.000100000,0.000100000,0.005000000,1,3,0,0.000000,5e-4s-3V-m2V,
Measurement Data
index, pulse amplitude (V), R_low (ohm), R_high (ohm)
    0,  0.000,5005005005.005,5892751915.144
    1,  0.100,5032712632.109,5906674542.233
    2,  0.200,5030181086.519,5927682276.230
    3,  0.300,5102040816.327,6049606775.560
    4,  0.400,5437737901.033,6410256410.256
    5,  0.500,6218905472.637,7331378299.120
    6,  0.600,7309941520.468,8718395815.170
    7,  0.700,8467400508.044,9990009990.010
    8,  0.800,9633911368.015,11273957158.963
    9,  0.900,11001100110.011,12903225806.452
   10,  1.000,11876484560.570,14064697609.001
   11,  1.100,13192612137.203,16000000000.000
   12,  1.200,15698587127.159,18796992481.203
   13,  1.300,16835016835.017,20533880903.491
   14,  1.400,18181818181.818,21929824561.404
   15,  1.500,19342359767.892,23529411764.706
   16,  1.600,19762845849.802,23923444976.077
   17,  1.700,21231422505.308,26178010471.204
   18,  1.800,21978021978.022,26385224274.406
   19,  1.900,23094688221.709,27548209366.391
   20,  2.000,22779043280.182,26881720430.108
   21,  2.100,22935779816.514,27247956403.270
   22,  2.200,23809523809.524,28653295128.940
   23,  2.300,23980815347.722,29850746268.657
   24,  2.400,24875621890.547,30674846625.767
   25,  2.500,26041666666.667,30864197530.864
   26,  2.600,25316455696.203,30959752321.981
   27,  2.700,25641025641.026,30959752321.981
   28,  2.800,25641025641.026,31645569620.253
   29,  2.900,25974025974.026,31746031746.032
   30,  3.000,26315789473.684,33222591362.126
   31,  2.900,27322404371.585,32573289902.280
   32,  2.800,28328611898.017,35211267605.634
   33,  2.700,27397260273.973,34246575342.466
   34,  2.600,27855153203.343,34246575342.466
   35,  2.500,26954177897.574,33444816053.512
   36,  2.400,27322404371.585,34246575342.466
   37,  2.300,26881720430.108,33670033670.034
   38,  2.200,28328611898.017,34965034965.035
   39,  2.100,28169014084.507,34722222222.222
   40,  2.000,28409090909.091,35587188612.100
   41,  1.900,28011204481.793,34482758620.690
   42,  1.800,28169014084.507,34602076124.567
   43,  1.700,28248587570.621,35335689045.936
   44,  1.600,29239766081.871,34013605442.177
   45,  1.500,28571428571.429,35335689045.936
   46,  1.400,28653295128.940,35335689045.936
   47,  1.300,28653295128.940,36231884057.971
   48,  1.200,28653295128.940,35714285714.286
   49,  1.100,27624309392.265,34364261168.385
   50,  1.000,28248587570.621,35714285714.286
   51,  0.900,27777777777.778,35971223021.583
   52,  0.800,28653295128.940,35587188612.100
   53,  0.700,28089887640.449,35971223021.583
   54,  0.600,28901734104.046,36496350364.964
   55,  0.500,28735632183.908,36630036630.037
   56,  0.400,29069767441.860,36231884057.971
   57,  0.300,29069767441.860,35842293906.810
   58,  0.200,28653295128.940,35087719298.246
   59,  0.100,29154518950.437,35587188612.100
   60,  0.000,28818443804.035,35211267605.634
   61,  0.000,29069767441.860,35971223021.583
   62, -0.100,28409090909.091,33898305084.746
   63, -0.200,29325513196.481,37453183520.599
   64, -0.300,29069767441.860,36231884057.971
   65, -0.400,27700831024.931,34602076124.567
   66, -0.500,23696682464.455,28571428571.429
   67, -0.600,17699115044.248,22026431718.062
   68, -0.700,12547051442.911,15128593040.847
   69, -0.800,9074410163.339,10672358591.249
   70, -0.900,7570022710.068,8779631255.487
   71, -1.000,6657789613.848,7824726134.585
   72, -1.100,5707762557.078,6968641114.983
   73, -1.200,5546311702.718,6693440428.380
   74, -1.300,5350454788.657,6410256410.256
   75, -1.400,5249343832.021,6277463904.583
   76, -1.500,5104645227.157,6146281499.693
   77, -1.600,5025125628.141,6042296072.508
   78, -1.700,5073566717.402,5952380952.381
   79, -1.800,4775549188.157,5803830528.149
   80, -1.900,4990019960.080,5760368663.594
   81, -2.000,4699248120.301,5630630630.631
   82, -1.900,4686035613.871,5564830272.677
   83, -1.800,4868549172.347,5630630630.631
   84, -1.700,4798464491.363,5561735261.402
   85, -1.600,4793863854.267,5561735261.402
   86, -1.500,4835589941.973,5580357142.857
   87, -1.400,4750593824.228,5537098560.354
   88, -1.300,4675081813.932,5530973451.327
   89, -1.200,4786979415.989,5518763796.909
   90, -1.100,4773269689.737,5503577325.261
   91, -1.000,4743833017.078,5488474204.171
   92, -0.900,4728132387.707,5488474204.171
   93, -0.800,4723665564.478,5482456140.351
   94, -0.700,4725897920.605,5488474204.171
   95, -0.600,4721435316.336,5509641873.278
   96, -0.500,4755111745.126,5491488193.300
   97, -0.400,4859086491.740,5555555555.556
   98, -0.300,4856726566.294,5555555555.556
   99, -0.200,4852013585.638,5561735261.402
  100, -0.100,4849660523.763,5558643690.939
  101,  0.000,4861448711.716,5558643690.939
