Setup title	pulsedWidthSweep_DCIV
test date	19.09.2024
test time	13:39:58
Device ID	LBE247_ID301R1000Oct
Count	0
TriggerOutput	0
TriggerPolarity	positive
Measurement parameters
groundWGFMU,pulseWGFMU,posVoltage,negVoltage,riseTime,fallTime,pulseWidth,pulseDelay,VpreCond1,VpreCond2,riseTimePrecond,fallTimePrecon,pulseWidthPreCond,bothSides,repetitions,preConEveryLoop,groundVoltageDuringPulse,measName,
SMU2,WGFMU1,2.000000,-1.500000,0.000000020,0.000000020,0.000000022:0.000000024:0.000000027:0.000000030:0.000000033:0.000000036:0.000000040:0.000000045:0.000000049:0.000000054:0.000000060:0.000000066:0.000000073:0.000000081:0.000000090:0.000000099:0.000000109:0.000000121:0.000000134:0.000000148:0.000000163:0.000000181:0.000000200:0.000000220:0.000000244:0.000000269:0.000000298:0.000000329:0.000000363:0.000000402:0.000000444:0.000000491:0.000000542:0.000000599:0.000000662:0.000000732:0.000000809:0.000000894:0.000000988:0.000001092:0.000001207:0.000001334:0.000001474:0.000001629:0.000001800:0.000001990:0.000002199:0.000002430:0.000002686:0.000002968:0.000003280:0.000003625:0.000004007:0.000004428:0.000004894:0.000005409:0.000005977:0.000006606:0.000007301:0.000008069:0.000008917:0.000009855:0.000010890:0.000012040:0.000013300:0.000014700:0.000016250:0.000017960:0.000019850:0.000021930:0.000024240:0.000026790:0.000029610:0.000032720:0.000036160:0.000039960:0.000044170:0.000048810:0.000053950,0.001000,0.000000,0.000000,0.000100000,0.000100000,0.005000000,0,4,0,0.000000,2V-m1p5V,
Measurement Data
index,pulse width (s), pulse amplitude (V), R_low (ohm), R_high (ohm)
    0,0.000000022,  2.000,23419203747.073,28571428571.429
    1,0.000000024,  2.000,23640661938.534,28735632183.908
    2,0.000000027,  2.000,23529411764.706,28169014084.507
    3,0.000000030,  2.000,23640661938.534,27777777777.778
    4,0.000000033,  2.000,23529411764.706,28169014084.507
    5,0.000000036,  2.000,23640661938.534,28169014084.507
    6,0.000000040,  2.000,23752969121.140,27624309392.265
    7,0.000000045,  2.000,23640661938.534,27777777777.778
    8,0.000000049,  2.000,23809523809.524,27624309392.265
    9,0.000000054,  2.000,23696682464.455,27624309392.265
   10,0.000000060,  2.000,23364485981.308,27700831024.931
   11,0.000000066,  2.000,23310023310.023,27100271002.710
   12,0.000000073,  2.000,23696682464.455,27548209366.391
   13,0.000000081,  2.000,23640661938.534,27027027027.027
   14,0.000000090,  2.000,23310023310.023,27397260273.973
   15,0.000000099,  2.000,23419203747.073,27700831024.931
   16,0.000000109,  2.000,23584905660.377,27624309392.265
   17,0.000000121,  2.000,23364485981.308,27777777777.778
   18,0.000000134,  2.000,23310023310.023,27472527472.527
   19,0.000000148,  2.000,23419203747.073,27397260273.973
   20,0.000000163,  2.000,23255813953.488,26737967914.439
   21,0.000000181,  2.000,23584905660.377,27624309392.265
   22,0.000000200,  2.000,23419203747.073,27472527472.527
   23,0.000000220,  2.000,23201856148.492,27548209366.391
   24,0.000000244,  2.000,23310023310.023,27855153203.343
   25,0.000000269,  2.000,23640661938.534,27548209366.391
   26,0.000000298,  2.000,23866348448.687,27100271002.710
   27,0.000000329,  2.000,23696682464.455,27173913043.478
   28,0.000000363,  2.000,23809523809.524,27027027027.027
   29,0.000000402,  2.000,23310023310.023,27397260273.973
   30,0.000000444,  2.000,23529411764.706,27322404371.585
   31,0.000000491,  2.000,24038461538.462,27548209366.391
   32,0.000000542,  2.000,24154589371.981,27548209366.391
   33,0.000000599,  2.000,23584905660.377,27472527472.527
   34,0.000000662,  2.000,23640661938.534,27700831024.931
   35,0.000000732,  2.000,23980815347.722,27777777777.778
   36,0.000000809,  2.000,23866348448.687,27472527472.527
   37,0.000000894,  2.000,23640661938.534,27855153203.343
   38,0.000000988,  2.000,23866348448.687,27777777777.778
   39,0.000001092,  2.000,23640661938.534,27855153203.343
   40,0.000001207,  2.000,23696682464.455,27855153203.343
   41,0.000001334,  2.000,24038461538.462,28089887640.449
   42,0.000001474,  2.000,23923444976.077,27932960893.855
   43,0.000001629,  2.000,23752969121.140,28328611898.017
   44,0.000001800,  2.000,24570024570.025,28089887640.449
   45,0.000001990,  2.000,24449877750.611,28011204481.793
   46,0.000002199,  2.000,23980815347.722,27624309392.265
   47,0.000002430,  2.000,23980815347.722,28248587570.621
   48,0.000002686,  2.000,23980815347.722,27855153203.343
   49,0.000002968,  2.000,23419203747.073,27548209366.391
   50,0.000003280,  2.000,24390243902.439,27247956403.270
   51,0.000003625,  2.000,23923444976.077,28011204481.793
   52,0.000004007,  2.000,24813895781.638,27700831024.931
   53,0.000004428,  2.000,24509803921.569,28011204481.793
   54,0.000004894,  2.000,24630541871.921,28011204481.793
   55,0.000005409,  2.000,24509803921.569,28011204481.793
   56,0.000005977,  2.000,24330900243.309,27624309392.265
   57,0.000006606,  2.000,24752475247.525,27700831024.931
   58,0.000007301,  2.000,24691358024.691,28169014084.507
   59,0.000008069,  2.000,24630541871.921,27700831024.931
   60,0.000008917,  2.000,24390243902.439,27932960893.855
   61,0.000009855,  2.000,24213075060.533,28011204481.793
   62,0.000010890,  2.000,23923444976.077,27777777777.778
   63,0.000012040,  2.000,24096385542.169,27472527472.527
   64,0.000013300,  2.000,24330900243.309,27932960893.855
   65,0.000014700,  2.000,24271844660.194,28248587570.621
   66,0.000016250,  2.000,23696682464.455,27548209366.391
   67,0.000017960,  2.000,24271844660.194,27700831024.931
   68,0.000019850,  2.000,24330900243.309,27397260273.973
   69,0.000021930,  2.000,24630541871.921,27932960893.855
   70,0.000024240,  2.000,24271844660.194,27777777777.778
   71,0.000026790,  2.000,23752969121.140,27777777777.778
   72,0.000029610,  2.000,24509803921.569,27322404371.585
   73,0.000032720,  2.000,24096385542.169,27548209366.391
   74,0.000036160,  2.000,24509803921.569,27777777777.778
   75,0.000039960,  2.000,24271844660.194,27855153203.343
   76,0.000044170,  2.000,23923444976.077,27472527472.527
   77,0.000048810,  2.000,24390243902.439,28169014084.507
   78,0.000053950,  2.000,24038461538.462,27624309392.265
   79,-0.000000022, -1.500,16556291390.728,19646365422.397
   80,-0.000000024, -1.500,13404825737.265,15748031496.063
   81,-0.000000027, -1.500,12269938650.307,14224751066.856
   82,-0.000000030, -1.500,11547344110.855,13531799729.364
   83,-0.000000033, -1.500,10893246187.364,12690355329.949
   84,-0.000000036, -1.500,10515247108.307,12224938875.306
   85,-0.000000040, -1.500,10309278350.515,12033694344.164
   86,-0.000000045, -1.500,10101010101.010,11778563015.312
   87,-0.000000049, -1.500,9900990099.010,11520737327.189
   88,-0.000000054, -1.500,9930486593.843,11389521640.091
   89,-0.000000060, -1.500,9727626459.144,11198208286.674
   90,-0.000000066, -1.500,9606147934.678,10928961748.634
   91,-0.000000073, -1.500,9442870632.672,10741138560.687
   92,-0.000000081, -1.500,9057971014.493,10559662090.813
   93,-0.000000090, -1.500,8968609865.471,10341261633.919
   94,-0.000000099, -1.500,8928571428.571,10204081632.653
   95,-0.000000109, -1.500,8658008658.009,10080645161.290
   96,-0.000000121, -1.500,8583690987.124,10000000000.000
   97,-0.000000134, -1.500,8445945945.946,9775171065.494
   98,-0.000000148, -1.500,8517887563.884,9861932938.856
   99,-0.000000163, -1.500,8183306055.646,9541984732.824
  100,-0.000000181, -1.500,8071025020.178,9407337723.424
  101,-0.000000200, -1.500,7980845969.673,9310986964.618
  102,-0.000000220, -1.500,8123476848.091,9310986964.618
  103,-0.000000244, -1.500,7993605115.907,9199632014.719
  104,-0.000000269, -1.500,7788161993.769,9074410163.339
  105,-0.000000298, -1.500,7686395080.707,8976660682.226
  106,-0.000000329, -1.500,7656967840.735,8849557522.124
  107,-0.000000363, -1.500,7541478129.713,8771929824.561
  108,-0.000000402, -1.500,7570022710.068,8741258741.259
  109,-0.000000444, -1.500,7507507507.508,8658008658.009
  110,-0.000000491, -1.500,7535795026.375,8613264427.218
  111,-0.000000542, -1.500,7358351729.213,8510638297.872
  112,-0.000000599, -1.500,7446016381.236,8503401360.544
  113,-0.000000662, -1.500,7363770250.368,8467400508.044
  114,-0.000000732, -1.500,7230657989.877,8368200836.820
  115,-0.000000809, -1.500,7158196134.574,8333333333.333
  116,-0.000000894, -1.500,7178750897.344,8278145695.364
  117,-0.000000988, -1.500,7230657989.877,8257638315.442
  118,-0.000001092, -1.500,7230657989.877,8285004142.502
  119,-0.000001207, -1.500,7204610951.009,8210180623.974
  120,-0.000001334, -1.500,7194244604.317,8230452674.897
  121,-0.000001474, -1.500,6968641114.983,8084074373.484
  122,-0.000001629, -1.500,7102272727.273,8136696501.221
  123,-0.000001800, -1.500,7057163020.466,8084074373.484
  124,-0.000001990, -1.500,7067137809.187,8097165991.903
  125,-0.000002199, -1.500,7007708479.327,8019246190.858
  126,-0.000002430, -1.500,6983240223.464,7993605115.907
  127,-0.000002686, -1.500,6934812760.055,7968127490.040
  128,-0.000002968, -1.500,6915629322.268,7961783439.490
  129,-0.000003280, -1.500,6811989100.817,7867820613.690
  130,-0.000003625, -1.500,6877579092.160,7867820613.690
  131,-0.000004007, -1.500,6816632583.504,7849293563.579
  132,-0.000004428, -1.500,6565988181.221,7830853563.038
  133,-0.000004894, -1.500,6724949562.878,7794232268.122
  134,-0.000005409, -1.500,6752194463.201,7739938080.495
  135,-0.000005977, -1.500,6501950585.176,7745933384.973
  136,-0.000006606, -1.500,6510416666.667,7668711656.442
  137,-0.000007301, -1.500,6680026720.107,7722007722.008
  138,-0.000008069, -1.500,6591957811.470,7674597083.653
