Setup title	pulsedWidthSweep_DCIV
test date	19.09.2024
test time	13:54:30
Device ID	LBE247_ID301R1000Oct
Count	0
TriggerOutput	0
TriggerPolarity	positive
Measurement parameters
groundWGFMU,pulseWGFMU,posVoltage,negVoltage,riseTime,fallTime,pulseWidth,pulseDelay,VpreCond1,VpreCond2,riseTimePrecond,fallTimePrecon,pulseWidthPreCond,bothSides,repetitions,preConEveryLoop,groundVoltageDuringPulse,measName,
SMU2,WGFMU1,1.500000,-1.200000,0.000000020,0.000000020,0.000000022:0.000000024:0.000000027:0.000000030:0.000000033:0.000000036:0.000000040:0.000000045:0.000000049:0.000000054:0.000000060:0.000000066:0.000000073:0.000000081:0.000000090:0.000000099:0.000000109:0.000000121:0.000000134:0.000000148:0.000000163:0.000000181:0.000000200:0.000000220:0.000000244:0.000000269:0.000000298:0.000000329:0.000000363:0.000000402:0.000000444:0.000000491:0.000000542:0.000000599:0.000000662:0.000000732:0.000000809:0.000000894:0.000000988:0.000001092:0.000001207:0.000001334:0.000001474:0.000001629:0.000001800:0.000001990:0.000002199:0.000002430:0.000002686:0.000002968:0.000003280:0.000003625:0.000004007:0.000004428:0.000004894:0.000005409:0.000005977:0.000006606:0.000007301:0.000008069:0.000008917:0.000009855:0.000010890:0.000012040:0.000013300:0.000014700:0.000016250:0.000017960:0.000019850:0.000021930:0.000024240:0.000026790:0.000029610:0.000032720:0.000036160:0.000039960:0.000044170:0.000048810:0.000053950,0.001000,0.000000,0.000000,0.000100000,0.000100000,0.005000000,0,4,0,0.000000,1p2V-m1p5V,
Measurement Data
index,pulse width (s), pulse amplitude (V), R_low (ohm), R_high (ohm)
    0,0.000000022,  1.500,10976948408.342,13089005235.602
    1,0.000000024,  1.500,11248593925.759,13106159895.151
    2,0.000000027,  1.500,11337868480.726,13404825737.265
    3,0.000000030,  1.500,11350737797.957,13351134846.462
    4,0.000000033,  1.500,11286681715.576,13368983957.219
    5,0.000000036,  1.500,11560693641.618,13642564802.183
    6,0.000000040,  1.500,11520737327.189,13623978201.635
    7,0.000000045,  1.500,11668611435.239,13850415512.465
    8,0.000000049,  1.500,11641443538.999,13812154696.133
    9,0.000000054,  1.500,11668611435.239,13717421124.829
   10,0.000000060,  1.500,11614401858.304,13679890560.876
   11,0.000000066,  1.500,11627906976.744,13755158184.319
   12,0.000000073,  1.500,11627906976.744,13736263736.264
   13,0.000000081,  1.500,11750881316.099,13850415512.465
   14,0.000000090,  1.500,11848341232.227,13927576601.671
   15,0.000000099,  1.500,11947431302.270,13888888888.889
   16,0.000000109,  1.500,11918951132.300,13986013986.014
   17,0.000000121,  1.500,11904761904.762,14044943820.225
   18,0.000000134,  1.500,12210012210.012,14064697609.001
   19,0.000000148,  1.500,12195121951.220,14224751066.856
   20,0.000000163,  1.500,12406947890.819,14224751066.856
   21,0.000000181,  1.500,12300123001.230,14450867052.023
   22,0.000000200,  1.500,12422360248.447,14471780028.944
   23,0.000000220,  1.500,12562814070.352,15432098765.432
   24,0.000000244,  1.500,12376237623.762,15698587127.159
   25,0.000000269,  1.500,12903225806.452,13966480446.927
   26,0.000000298,  1.500,12987012987.013,14430014430.014
   27,0.000000329,  1.500,12836970474.968,14749262536.873
   28,0.000000363,  1.500,13123359580.052,15267175572.519
   29,0.000000402,  1.500,13123359580.052,15174506828.528
   30,0.000000444,  1.500,13003901170.351,15408320493.066
   31,0.000000491,  1.500,13262599469.496,15527950310.559
   32,0.000000542,  1.500,13210039630.119,15698587127.159
   33,0.000000599,  1.500,13586956521.739,15600624024.961
   34,0.000000662,  1.500,13698630136.986,15923566878.981
   35,0.000000732,  1.500,13495276653.171,16260162601.626
   36,0.000000809,  1.500,13642564802.183,16051364365.971
   37,0.000000894,  1.500,13755158184.319,16181229773.463
   38,0.000000988,  1.500,13850415512.465,16313213703.100
   39,0.000001092,  1.500,13736263736.264,16129032258.065
   40,0.000001207,  1.500,13966480446.927,16339869281.046
   41,0.000001334,  1.500,14044943820.225,16638935108.153
   42,0.000001474,  1.500,14144271570.014,16835016835.017
   43,0.000001629,  1.500,14347202295.552,16863406408.094
   44,0.000001800,  1.500,14471780028.944,17035775127.768
   45,0.000001990,  1.500,14471780028.944,17241379310.345
   46,0.000002199,  1.500,14513788098.694,17543859649.123
   47,0.000002430,  1.500,14684287812.041,17301038062.284
   48,0.000002686,  1.500,14749262536.873,17636684303.351
   49,0.000002968,  1.500,14814814814.815,17730496453.901
   50,0.000003280,  1.500,14970059880.240,17730496453.901
   51,0.000003625,  1.500,15151515151.515,17574692442.882
   52,0.000004007,  1.500,15313935681.470,17921146953.405
   53,0.000004428,  1.500,15128593040.847,17793594306.050
   54,0.000004894,  1.500,15197568389.058,18115942028.986
   55,0.000005409,  1.500,15432098765.432,18348623853.211
   56,0.000005977,  1.500,15503875968.992,18484288354.898
   57,0.000006606,  1.500,15527950310.559,18552875695.733
   58,0.000007301,  1.500,15723270440.252,18450184501.845
   59,0.000008069,  1.500,15600624024.961,18552875695.733
   60,0.000008917,  1.500,15600624024.961,18416206261.510
   61,0.000009855,  1.500,15748031496.063,18726591760.300
   62,0.000010890,  1.500,15698587127.159,18726591760.300
   63,0.000012040,  1.500,15797788309.637,18552875695.733
   64,0.000013300,  1.500,15923566878.981,18726591760.300
   65,0.000014700,  1.500,15873015873.016,18796992481.203
   66,0.000016250,  1.500,15873015873.016,18903591682.420
   67,0.000017960,  1.500,15723270440.252,19011406844.106
   68,0.000019850,  1.500,15898251192.369,19120458891.013
   69,0.000021930,  1.500,15797788309.637,19047619047.619
   70,0.000024240,  1.500,15873015873.016,18796992481.203
   71,0.000026790,  1.500,16000000000.000,19417475728.155
   72,0.000029610,  1.500,16077170418.006,18796992481.203
   73,0.000032720,  1.500,15948963317.384,18939393939.394
   74,0.000036160,  1.500,16155088852.989,19305019305.019
   75,0.000039960,  1.500,15948963317.384,18867924528.302
   76,0.000044170,  1.500,16103059581.320,19193857965.451
   77,0.000048810,  1.500,16207455429.498,19305019305.019
   78,0.000053950,  1.500,16366612111.293,19493177387.914
   79,-0.000000022, -1.200,14224751066.856,17064846416.382
   80,-0.000000024, -1.200,13495276653.171,15873015873.016
   81,-0.000000027, -1.200,12706480304.956,15037593984.962
   82,-0.000000030, -1.200,12330456226.880,14577259475.219
   83,-0.000000033, -1.200,12019230769.231,14184397163.121
   84,-0.000000036, -1.200,11723329425.557,13927576601.671
   85,-0.000000040, -1.200,11574074074.074,13661202185.792
   86,-0.000000045, -1.200,11402508551.881,13368983957.219
   87,-0.000000049, -1.200,11273957158.963,13157894736.842
   88,-0.000000054, -1.200,11013215859.031,12919896640.827
   89,-0.000000060, -1.200,10940919037.199,12674271229.404
   90,-0.000000066, -1.200,10741138560.687,12453300124.533
   91,-0.000000073, -1.200,10515247108.307,12406947890.819
   92,-0.000000081, -1.200,10309278350.515,12165450121.655
   93,-0.000000090, -1.200,10131712259.372,11862396204.033
   94,-0.000000099, -1.200,10101010101.010,11655011655.012
   95,-0.000000109, -1.200,10010010010.010,11560693641.618
   96,-0.000000121, -1.200,9775171065.494,11507479861.910
   97,-0.000000134, -1.200,9541984732.824,11235955056.180
   98,-0.000000148, -1.200,9551098376.313,11135857461.024
   99,-0.000000163, -1.200,9416195856.874,11086474501.109
  100,-0.000000181, -1.200,9293680297.398,10905125408.942
  101,-0.000000200, -1.200,9250693802.035,10834236186.349
  102,-0.000000220, -1.200,9066183136.899,10672358591.249
  103,-0.000000244, -1.200,8984725965.858,10615711252.654
  104,-0.000000269, -1.200,8865248226.950,10438413361.169
  105,-0.000000298, -1.200,8810572687.225,10351966873.706
  106,-0.000000329, -1.200,8756567425.569,10172939979.654
  107,-0.000000363, -1.200,8525149190.111,10000000000.000
  108,-0.000000402, -1.200,8354218880.535,9823182711.198
  109,-0.000000444, -1.200,8285004142.502,9643201542.912
  110,-0.000000491, -1.200,8244023083.265,9532888465.205
  111,-0.000000542, -1.200,8136696501.221,9606147934.678
  112,-0.000000599, -1.200,8130081300.813,9469696969.697
  113,-0.000000662, -1.200,7874015748.031,9216589861.751
  114,-0.000000732, -1.200,7704160246.533,9124087591.241
  115,-0.000000809, -1.200,7593014426.727,9041591320.072
  116,-0.000000894, -1.200,7621951219.512,8928571428.571
  117,-0.000000988, -1.200,7627765064.836,8865248226.950
  118,-0.000001092, -1.200,7423904974.016,8620689655.172
  119,-0.000001207, -1.200,7412898443.291,8628127696.290
