Setup title	pulsedAmplitudeSweep_DCIV
test date	19.09.2024
test time	16:35:25
Device ID	LBE247_ID36ZR1000Circ
Count	0
TriggerOutput	0
TriggerPolarity	positive
Measurement parameters
groundWGFMU,pulseWGFMU,startVolage1,endVoltage1,startVolage2,endVoltage2,stepSize,riseTime,fallTime,pulseWidth,pulseDelay,VpreCond1,VpreCond2,riseTimePrecond,fallTimePrecon,pulseWidthPreCond,bothSides,repetitions,preConEveryLoop,groundVoltageDuringPulse,measName,
SMU2,WGFMU1,0.000000,2.500000,0.000000,-2.000000,0.100000,0.000000020,0.000000020,0.000500000,0.001000000,0.000000,0.000000,0.000100000,0.000100000,0.005000000,1,2,0,0.000000,5e-4s-2p5V-m2V,
Measurement Data
index, pulse amplitude (V), R_low (ohm), R_high (ohm)
    0,  0.000,14104372355.430,15698587127.159
    1,  0.100,14104372355.430,15898251192.369
    2,  0.200,14084507042.254,15748031496.063
    3,  0.300,14556040756.914,16366612111.293
    4,  0.400,16207455429.498,17730496453.901
    5,  0.500,20408163265.306,21459227467.811
    6,  0.600,23980815347.722,24691358024.691
    7,  0.700,27472527472.527,27700831024.931
    8,  0.800,29325513196.481,29239766081.871
    9,  0.900,34129692832.765,34013605442.177
   10,  1.000,37037037037.037,35211267605.634
   11,  1.100,39525691699.605,36496350364.964
   12,  1.200,41666666666.667,39215686274.510
   13,  1.300,44444444444.444,40650406504.065
   14,  1.400,49019607843.137,43668122270.742
   15,  1.500,45871559633.028,41322314049.587
   16,  1.600,42918454935.622,40650406504.065
   17,  1.700,40000000000.000,37593984962.406
   18,  1.800,36630036630.037,36496350364.964
   19,  1.900,36363636363.636,34965034965.035
   20,  2.000,32154340836.013,33557046979.866
   21,  2.100,31055900621.118,32154340836.013
   22,  2.200,28653295128.940,30864197530.864
   23,  2.300,28818443804.035,28818443804.035
   24,  2.400,28571428571.429,28248587570.621
   25,  2.500,26809651474.531,28328611898.017
   26,  2.400,26666666666.667,27472527472.527
   27,  2.300,26315789473.684,28328611898.017
   28,  2.200,26315789473.684,28011204481.793
   29,  2.100,25445292620.865,26809651474.531
   30,  2.000,25839793281.654,27548209366.391
   31,  1.900,24937655860.349,27100271002.710
   32,  1.800,25125628140.704,26595744680.851
   33,  1.700,25839793281.654,26737967914.439
   34,  1.600,25062656641.604,26737967914.439
   35,  1.500,25000000000.000,26315789473.684
   36,  1.400,25445292620.865,26178010471.204
   37,  1.300,24937655860.349,26737967914.439
   38,  1.200,24937655860.349,26041666666.667
   39,  1.100,25510204081.633,26455026455.026
   40,  1.000,25188916876.574,26178010471.204
   41,  0.900,25641025641.026,26455026455.026
   42,  0.800,25188916876.574,26954177897.574
   43,  0.700,25706940874.036,26385224274.406
   44,  0.600,25641025641.026,26881720430.108
   45,  0.500,25773195876.289,26595744680.851
   46,  0.400,24937655860.349,26954177897.574
   47,  0.300,25510204081.633,26881720430.108
   48,  0.200,25316455696.203,26737967914.439
   49,  0.100,25252525252.525,26881720430.108
   50,  0.000,25839793281.654,26809651474.531
   51,  0.000,25575447570.332,27322404371.585
   52, -0.100,25641025641.026,27027027027.027
   53, -0.200,26041666666.667,26881720430.108
   54, -0.300,25706940874.036,26041666666.667
   55, -0.400,24691358024.691,25706940874.036
   56, -0.500,21141649048.626,22883295194.508
   57, -0.600,15408320493.066,16835016835.017
   58, -0.700,9689922480.620,11013215859.031
   59, -0.800,7716049382.716,8673026886.383
   60, -0.900,6082725060.827,7147962830.593
   61, -1.000,5537098560.354,6653359946.773
   62, -1.100,5336179295.624,6385696040.868
   63, -1.200,5341880341.880,6211180124.224
   64, -1.300,5246589716.684,6042296072.508
   65, -1.400,5017561465.128,5875440658.049
   66, -1.500,4725897920.605,5659309564.233
   67, -1.600,4591368227.732,5509641873.278
   68, -1.700,4502476361.999,5428881650.380
   69, -1.800,4452359750.668,5299417064.123
   70, -1.900,4340277777.778,5208333333.333
   71, -2.000,4278990158.323,5102040816.327
   72, -1.900,4428697962.799,5144032921.811
   73, -1.800,4378283712.785,5107252298.264
   74, -1.700,4368719965.050,5083884087.443
   75, -1.600,4424778761.062,5117707267.144
   76, -1.500,4409171075.838,5112474437.628
   77, -1.400,4426737494.467,5086469989.827
   78, -1.300,4420866489.832,5078720162.519
   79, -1.200,4411116012.351,5107252298.264
   80, -1.100,4418912947.415,5078720162.519
   81, -1.000,4357298474.946,5042864346.949
   82, -0.900,4372540445.999,5065856129.686
   83, -0.800,4393673110.721,5068423720.223
   84, -0.700,4334633723.450,5063291139.241
   85, -0.600,4378283712.785,5076142131.980
   86, -0.500,4401408450.704,5081300813.008
   87, -0.400,4349717268.378,5083884087.443
   88, -0.300,4422821760.283,5099439061.703
   89, -0.200,4432624113.475,5104645227.157
   90, -0.100,4426737494.467,5107252298.264
   91,  0.000,4430660168.365,5117707267.144
