size,n,t0,V0,n_tau,r2_score
600,1.5,4.5112707377140254e-06,3.077845198632846,1.4900000000000002,0.03301772908125966
600,1.75,0.00012701860814753798,0.00016891007616660474,1.7497136203411416,-6.380855399612528e-09
600,2.0,2.2725554503700714e-05,0.0009496118192022203,1.9923684150099583,-8.372849080728884e-10
600,2.25,2.3970382060183948e-05,0.006267969866301877,2.240007515675921,-3.2803479932397295e-09
600,2.5,2.1088715301847612e-05,0.8488911444341553,2.4900000000000007,0.00021477231516309203
30000,1.5,0.0005510621538670777,3.13831257223804,1.490000000000001,0.8440086963900253
30000,1.75,0.0013054280349805308,1.3735054151992185,1.7400000000000002,0.19598158164954782
30000,2.0,0.0014160811681326708,1.2319068169346916,1.9900000000000002,0.16589099722499934
30000,2.25,0.0009521900659563719,2.0822698112172584,2.2400000000000007,0.7863375642270514
30000,2.5,0.0010438601366434099,1.9374675285020226,2.4900000000000007,0.755289428552921
20000,1.5,0.00019125544716854526,3.9707555518571978,1.4900000000000002,0.9369828702608632
20000,1.75,0.00025838509242253276,3.286967542654617,1.7400000000000002,0.9309914586761973
20000,2.0,0.00032171148510648197,2.8708990894219877,1.9900000000000002,0.9215653673151751
20000,2.25,0.0003798488342776119,2.5932307789949567,2.2400000000000007,0.909652173928376
20000,2.5,0.00043208592035616137,2.396112483173749,2.4900000000000007,0.895939677111724
1000,1.5,4.152870162689328e-05,4.321143180159478,1.490000000000532,0.2608608151491085
1000,1.75,7.257813706157785e-05,3.32636105495526,1.7400000000000002,0.22566442111893992
1000,2.0,0.00013686316604982136,2.094205291532201,1.9900000000000002,0.07447880899473969
1000,2.25,0.0001676281862421987,1.809259411569406,2.2400000000000033,0.05535942683219075
1000,2.5,0.00018399548531429125,2.0856254153220983,2.4900000000002254,0.14061385628565704
500,1.5,0.0010415941405024986,1.5501352438659435,1.4900000000000002,0.006684856275892548
500,1.75,0.0011584896602249881,1.2951267463144276,1.7400000000000002,0.0046977635111356
500,2.0,0.009300255522163358,0.001177920899993724,2.0038814288460736,-3.2732334620533265e-09
500,2.25,0.0004442713854228599,1.6784683282264896,2.2400000000000007,0.016571891626494528
500,2.5,0.019792128506947337,0.0001172901366039155,2.5022604473590553,-6.141753772226366e-13
10000,1.5,0.0001160376967930376,3.4499804928998996,1.5099999999999705,0.132470394982394
10000,1.75,0.0001463840372906447,2.9428571397117667,1.7599999999999836,0.16304583148604135
10000,2.0,0.0001710220150253329,2.637423811642249,2.0099999999999976,0.19661666766710517
10000,2.25,0.00019533301769058663,2.3765283718060872,2.259999999999989,0.19783114083856113
10000,2.5,0.00022269455668029887,2.2539722670850972,2.5099999999999922,0.24495616600390635
5000,1.5,0.000139069226640526,3.1892844021802254,1.4900000000000002,0.5743877950043372
5000,1.75,0.00019003012876103896,2.583056883484744,1.7400000000000002,0.5346923589841395
5000,2.0,0.00010836557730955431,3.2472546121794323,1.990000000000038,0.9188887815533407
5000,2.25,0.00013740755453144516,2.870917296612697,2.2400000000000007,0.8891221341595764
5000,2.5,0.0003161349630363198,1.8070750105471807,2.4900000000000007,0.4120023673283524
800,1.5,0.0003622976125470201,0.9796232540060321,1.4900000000000002,0.030211908656266107
800,1.75,0.0001878025168487192,2.5759923331963748,1.7400000000000002,0.2041657757153832
800,2.0,5.1449893180017755e-05,4.6570851525198345,1.9900000005789538,0.6110167647447802
800,2.25,7.018671212344876e-05,4.172948268162229,2.2400000000000007,0.6828034235188314
800,2.5,7.65560906825986e-05,3.903413194917733,2.4900000000000007,0.6878213944471366
