size,n,t0,V0,n_tau,r2_score
600,1.5,3.2181319262747363e-09,11.561832412976317,1.5099999970875,0.43359597698305563
600,1.75,2.703024239185812e-06,6.35707162865952,1.7400000000000002,0.8583162002072466
600,2.0,1.661910561075725e-08,7.330183266485912,1.9900000000000002,0.372336194657351
600,2.25,4.193500665472323e-08,6.094176252755575,2.2400000000051845,0.3504390031199166
600,2.5,3.355708995170059e-08,5.445550293458831,2.4900000000001157,0.37349746837503006
30000,1.5,0.0005122834927631749,3.3136397549264474,1.4900000000000002,0.9975385256030601
30000,1.75,0.000626650790883734,2.892809560849364,1.7400000000000002,0.9940747348451867
30000,2.0,0.000725600593038624,2.6330673045397366,1.9900000000000007,0.9881767261559358
30000,2.25,0.0008111082913012129,2.4624116233513202,2.2400000000000007,0.9799493786608532
30000,2.5,0.0008845740717668272,2.343962770106915,2.4900000000000007,0.9701404252726489
20000,1.5,0.00020116702004471373,4.064870042101696,1.4900000000000002,0.969562028470605
20000,1.75,0.0002589497798341752,3.475864895240938,1.7400000000000002,0.9607499530939787
20000,2.0,0.0003148718316743051,3.1053722737794884,1.9900000000000002,0.9489806965319649
20000,2.25,0.0003663566322659659,2.8587212323649767,2.2400000000000007,0.9361330787450496
20000,2.5,0.00041319181210508986,2.684456515863994,2.4900000000000007,0.9223154617690837
1000,1.5,1.8517449517491117e-05,5.798372256519842,1.5099999999999998,0.9924854934102588
1000,1.75,2.8743308301650006e-05,4.7548185466382895,1.7400000000000004,0.9912410115886431
1000,2.0,4.09493394918444e-05,4.075389396421241,1.9900000000000033,0.9885306919314084
1000,2.25,5.369681312088489e-05,3.635677551675029,2.240000000000013,0.984183955898215
1000,2.5,6.646708757828584e-05,3.3311605952252306,2.4900000000000007,0.9783355686497389
500,1.5,0.0036847012894824656,2.460354261110998e-05,1.492647492712922,-2.588624870014655e-10
500,1.75,0.003610527471104172,0.0005368413372152342,1.7491737462639947,-3.1627920282772948e-09
500,2.0,0.09889840618596984,0.00113533363650496,2.0016644910277184,-4.934005204404457e-09
500,2.25,0.003507890914745116,0.0010128319481643828,2.253914158514077,-1.9301271692029331e-10
500,2.5,0.09635726205654556,0.00030307605977496145,2.5037300211730753,-4.473976744634456e-12
10000,1.5,8.403495034992566e-05,4.756370057502533,1.4900000000000002,0.9866433701145456
10000,1.75,0.00011988790462188081,3.934714357913267,1.7400000000000002,0.9817683127727804
10000,2.0,0.00014726384992234072,3.4847953594083063,1.9900000000000002,0.9746752355490522
10000,2.25,0.00017833966836551583,3.1673320320418386,2.2400000000001117,0.965581659828901
10000,2.5,0.0002075044259399376,2.9451888389905294,2.4900000000000007,0.9554125771500022
5000,1.5,3.925073773717212e-05,5.2328820484221295,1.4900000000000002,0.9938717588139102
5000,1.75,5.7740678145567736e-05,4.293586932400153,1.7400000000000002,0.9891600678676422
5000,2.0,7.679977575617326e-05,3.735123721187604,1.990000000000008,0.9830649321074624
5000,2.25,9.566524488632494e-05,3.3699758786326557,2.240000000000001,0.9755666512714988
5000,2.5,0.00011387804367586526,3.1144992193163032,2.4900000000000007,0.9667064973793386
800,1.5,4.6472594653666286e-05,5.467843318024192,1.4900000000000002,0.680969122806306
800,1.75,6.494873665319553e-05,4.4863918582842475,1.7400000000000102,0.6133230368057678
800,2.0,4.5473633100722566e-05,4.746397229548692,1.9900000000000027,0.5483716320933603
800,2.25,6.927972389092435e-05,4.178787921658784,2.2400000000000073,0.6141201805231842
800,2.5,7.302147500797384e-05,3.9289242856854494,2.4900000000000015,0.6430780320211162
