voltage,r2_ruben,r2_paul,difference
-3.00V,0.9983200224829775,0.9974851598636447,0.0008348626193327435
-2.50V,0.9987768482328008,0.9990613969414543,-0.00028454870865357584
-2.25V,0.9991465311634731,0.9994905801589915,-0.00034404899551843116
-2.00V,0.9966818294741259,0.9974159511025826,-0.0007341216284567631
-1.75V,0.9967547371746839,0.9980612422820079,-0.0013065051073239964
-1.50V,0.9945339601983958,0.9969142407442605,-0.002380280545864699
-1.25V,0.9959706181943789,0.9982302552963518,-0.0022596371019728556
-1.00V,0.9813401698483584,0.9889262494761558,-0.0075860796277974485
1.25V,0.9842095179649033,0.9890228724499871,-0.004813354485083798
1.50V,0.9933266974303349,0.9959066636252307,-0.0025799661948958663
1.75V,0.9978605160136648,0.9986802687010227,-0.0008197526873578997
2.00V,0.9953261328172197,0.9957417711712939,-0.00041563835407421035
2.25V,0.9993192065251393,0.9985345433473942,0.0007846631777450597
2.50V,0.9995482948027067,0.9992717792798578,0.000276515522848908
2.75V,0.9979835965626419,0.9984289910873713,-0.0004453945247293589
3.00V,0.9994984976083925,0.9991748105809194,0.0003236870274730963
