size,n,t0,V0,n_tau,r2_score
1000,1.0,1e-08,2.0,1.0,0.16201871438745163
1000,1.25,2.91349272208188e-09,2.0,1.25,0.30818999733246155
1000,1.5,5.019266692512963e-09,2.0,1.5,0.35184489461464685
1000,1.75,6.278675254867054e-09,2.0,1.75,0.37704488883188625
1000,2.0,7.103460977251579e-09,2.0,2.0,0.40139691002625544
1000,2.25,1e-08,2.0,2.25,0.39136293082996787
10000,1.0,5.993899595297147e-09,3.662683847912732,1.0097368295415445,0.5154307643717603
10000,1.25,4.277025736822515e-09,3.624858437651384,1.2588619688810243,0.7406363546114308
10000,1.5,6.9940471460555e-09,3.1566177378318607,1.5064546515819095,0.7810361374220923
10000,1.75,5.893342970700297e-09,3.035490427849315,1.7549255876615746,0.8529712811526542
10000,2.0,6.020640188325387e-09,2.878768869438054,2.003185872024684,0.8759329673580311
10000,2.25,6.003828527249394e-09,2.828132930486748,2.252536718820652,0.9133773363952359
20000,1.0,5.756121879979447e-09,4.581468228152975,1.009973746420816,0.8010246037449246
20000,1.25,5.184812300898141e-09,4.233650346961972,1.2596506139411268,0.9192252970479082
20000,1.5,3.773924200353001e-09,3.9634257258634547,1.5085546191227528,0.9665617692353857
20000,1.75,7.244272783198161e-09,3.4746488929060493,1.7482970691769113,0.9375427952428492
20000,2.0,8.629256789847263e-09,3.1053722673477404,1.9900000000918816,0.9489799888666444
20000,2.25,1.2237354821325402e-08,2.8587212322407196,2.240000000008051,0.9361328247381514
30000,1.0,4.812195443826266e-09,5.970588420006915,1.0099992040464651,0.9940080184640173
30000,1.25,1.587857988676029e-08,3.9629066862242435,1.240825172239028,0.996524304491038
30000,1.5,2.6507093958189568e-08,3.3136396405633017,1.4900000001293776,0.9975385209092617
30000,1.75,4.215801126547591e-08,2.89280955896692,1.740000000000073,0.9940747350425708
30000,2.0,5.908649596176741e-08,2.6330673065065873,1.9900000000000104,0.9881767261805273
30000,2.25,7.636416918302758e-08,2.4624116236724127,2.2400000000000104,0.9799493788567093
500,1.0,0.006138498143291708,1.2839247052386573e-06,0.9979131299435989,-1.672344303038642e-07
500,1.25,0.005602716458566612,2.2594700266701418e-05,1.249335961346211,-8.414315688654028e-09
500,1.5,0.0052220865838599135,6.590351022493672e-07,1.4994424106992206,-2.651878716619649e-12
500,1.75,0.005002701993139927,1.1419862158002538e-05,1.7502685725328802,-9.85300729894334e-12
500,2.0,0.004856679953762837,0.0002975631797577342,2.0016121803835456,-3.3832958656887513e-10
500,2.25,0.00471241831115615,0.0005684611964688114,2.2521831780860686,-1.6486878529065052e-10
5000,1.0,1e-08,2.0,1.0,0.29175995394685694
5000,1.25,3.9921213806318126e-09,3.01290874603421,1.2570946438427488,0.5767800945985753
5000,1.5,1e-08,2.0,1.5,0.4063006865524972
5000,1.75,7.15373665794118e-09,2.0822145443155478,1.7503281561377282,0.4834541210992428
5000,2.0,8.805470240115675e-09,2.1917431924437447,2.000543952221769,0.548820705193787
5000,2.25,7.331806738558785e-09,2.3220807578981546,2.2508097337530724,0.6490362398184237
600,1.0,2.0674977929372053e-06,2.1921954011601406e-05,1.002013870283978,-9.16280828988647e-10
600,1.25,0.0028074761534667182,3.3468447954346196e-05,1.2493647331634226,-1.0956029194986172e-08
600,1.5,3.5402827136866677e-06,0.00013001906725167912,1.502654334291951,-3.3060532089734807e-10
600,1.75,1.6879035223965535e-05,6.0545149175384404e-05,1.7513962629908648,-3.6160185956646274e-11
600,2.0,1.7526743534502639e-06,0.0003393221903605102,2.005887290007759,-5.611067166455541e-12
600,2.25,1.5371513501895827e-06,0.014202627107922087,2.259761994727674,-2.5538282599768536e-10
800,1.0,5.6485280125892215e-09,3.188116713776397,1.008621554937417,0.3095514742391029
800,1.25,5.742943143154294e-09,2.7083898303069334,1.2547296417307559,0.3547031456483173
800,1.5,5.516730145785958e-09,2.861912951511303,1.5047593395920493,0.4208664029692728
800,1.75,1.579228240582106e-09,3.420560858591151,1.7556100150021636,0.5300397034480883
800,2.0,4.05024156313127e-09,3.0005619803474435,2.0028050553072023,0.34790375250151495
800,2.25,5.797876296228295e-09,2.9926104946304406,2.2522644703832304,0.41639709090219956
